系統編號,英文名稱,中文名稱,圖片,更新時間
2391536,mass storage unit，MSU,大量儲存單元,,2015-09-11
2391537,mass storage volume control journal,大量儲存卷控制日誌,,2015-09-11
2391538,mass storage volume control，MSVC,大量儲存卷控制，大容量儲存卷控制,,2015-09-11
2391539,mass storage volume group,大量儲存卷組,,2015-09-11
2391540,mass storage volume inventory,大量儲存卷庫存,,2015-09-11
2391541,mass storage volume，MSV,大量儲存卷，大容量儲存卷,,2015-09-11
2391542,mass storage，MS,大量儲存，大量資料儲存器，大容量儲存器,,2015-09-11
2391543,mass store,大量儲存（體）,,2015-09-11
2391544,mass tone,墨團色調,,2015-09-11
2391545,mass-producted,大量生產的，成批生產的,,2015-09-11
2391546,Massachusetts general hospital utility multiprogramming system，MUMPS,馬薩諸塞通用醫療多重程式（設計）,,2015-09-11
2391547,Massachusetts Institute of Technology,麻省理工學院,,2015-09-11
2391548,Massachusetts Institute of Technology OpenCourseWare,麻省理工學院開放課程軟體,,2015-09-11
2391549,massage,按摩,,2015-09-11
2391550,Massey decoding procedure,梅西解碼程序,,2015-09-11
2391551,Massey encoding procedure,梅西編碼程序,,2015-09-11
2391552,Massey formula,梅西公式,,2015-09-11
2391553,massive calculation,大量計算,,2015-09-11
2391554,massive dump,大量傾印,,2015-09-11
2391555,massive parallel artificial intelligence,大規模平行人工智慧,,2015-09-11
2391556,massive parallel network,巨量平行網路,,2015-09-11
2391557,massively parallel computer,大規模平行電腦,,2015-09-11
2391558,massively parallel network,大規模平行網路,,2015-09-11
2391559,massively parallel processing，MPP,大規模平行處理,,2015-09-11
2391560,massively parallel processor，MPP,大規模平行處理機，大容量平行處理機,,2015-09-11
2391561,master,主站，主檔，主要的，基本的，標準的，總的，核對用的,,2015-09-11
2391562,master active file,主現用檔案,,2015-09-11
2391563,master address,主位址,,2015-09-11
2391564,master address space,主位址空間,,2015-09-11
2391565,master alignment control,主對齊控制,,2015-09-11
2391566,master audio control,主聲頻控制,,2015-09-11
2391567,master automated program，MAP,主自動化程式,,2015-09-11
2391568,master boot record,主啟動記錄,,2015-09-11
2391569,master card，MC,主卡，主卡片,,2015-09-11
2391570,master catalog,主目錄,,2015-09-11
2391571,master central timing system，MCTS,主中央計時系統,,2015-09-11
2391572,master change notice，MCN,主變化通知,,2015-09-11
2391573,master change record,主變化記錄,,2015-09-11
2391574,master chip,主晶片,,2015-09-11
2391575,master clamp,主鉤,,2015-09-11
2391576,master clear,主清除,,2015-09-11
2391577,master clear line，MCL,主清除線，總清線,,2015-09-11
2391578,master clip,主夾子,,2015-09-11
2391579,master clock frequency,主時鐘頻率,,2015-09-11
2391580,master clock generator，MCG,主時鐘產生器,,2015-09-11
2391581,master clock pulse generator,主時鐘脈產生器,,2015-09-11
2391582,master clock，MCLK,主時鐘，主時鐘脈衝,,2015-09-11
2391583,master communication equipment，MCE,主（站）通信設備,,2015-09-11
2391584,master computer,主計算機,,2015-09-11
2391585,master configuration record,主組態記錄,,2015-09-11
2391586,master console,主控制台,,2015-09-11
2391587,master console command,主控制台命令,,2015-09-11
2391588,master console logon,主控制台登入,,2015-09-11
2391589,master console usage,主控制台使用（法）,,2015-09-11
2391590,master control and data buffer storage unit，MCDBSU,主控制器和資料緩衝儲存器單元,,2015-09-11
2391591,master control and user interface software，MCUIS,主控制與用戶介面軟體,,2015-09-11
2391592,master control and user interface subsystem，MCUIS,主控制與用戶介面子系統,,2015-09-11
2391593,master control code，MCC,主控制碼,,2015-09-11
2391594,master control executive，MACE,主控制執行,,2015-09-11
2391595,master control interrupt,主控制中斷,,2015-09-11
2391596,master control panel,主控制面板,,2015-09-11
2391597,master control program procedure,主控制計劃程序,,2015-09-11
2391598,master control program，MCP,主控制程式,,2015-09-11
2391599,master control register，MCR,主控制暫存器,,2015-09-11
2391600,master control routine，MCR,主控制常式,,2015-09-11
2391601,master control set，MCS,主控制集,,2015-09-11
2391602,master control station，MCS,主控制站，主控（制）站,,2015-09-11
2391603,master control system，MCS,主控制系統，主控（制）系統,,2015-09-11
2391604,master control unit，MCU,主控制單元,,2015-09-11
2391605,master controller，MCTR,主控制器,,2015-09-11
2391606,master control，MC,主控制,,2015-09-11
2391607,master coordinates,主座標,,2015-09-11
2391608,master CQS,主 CQS,,2015-09-11
2391609,master cryptography key,主密碼鍵,,2015-09-11
2391610,master cylinder mark，MCM,主柱標示,,2015-09-11
2391611,master data,主資料，主數據，基本數據,,2015-09-11
2391612,master data control console，MDCC,主資料控制台,,2015-09-11
2391613,master data file，MDF,主資料檔案,,2015-09-11
2391614,master data index，MADI,主數據索引，基本數據索引,,2015-09-11
2391615,master data recorder，MDR,主資料記錄器,,2015-09-11
2391616,master data record，MADAR,主資料記錄,,2015-09-11
2391617,master data sheet,主資料表單,,2015-09-11
2391618,master data structure，MDS,主資料結構,,2015-09-11
2391619,master database,主資料庫,,2015-09-11
2391620,master database update，MDBUPD,主資料庫更新，主數據庫更新,,2015-09-11
2391621,master delivery,主遞送,,2015-09-11
2391622,master derivation key,主推衍金鑰,,2015-09-11
2391623,master dictionary,主字典,,2015-09-11
2391624,master digital command system，MDCS,主數位命令系統,,2015-09-11
2391625,master digital data tape，MDDT,主數位資料帶,,2015-09-11
2391626,master dimming control,主調光器控制,,2015-09-11
2391627,master directory,主目錄,,2015-09-11
2391628,master disc,原版光碟,,2015-09-11
2391629,master environment,主環境,,2015-09-11
2391630,master executive control，MEC,主執行程序控制,,2015-09-11
2391631,master fade,主漸隱,,2015-09-11
2391632,Master File Application Identifier,主檔應用識別符,,2015-09-11
2391633,master file directory block,主檔案目錄塊,,2015-09-11
2391634,master file directory，MFD,主檔案目錄,,2015-09-11
2391635,Master File Identifier,主檔識別符,,2015-09-11
2391636,master file index,主檔案索引,,2015-09-11
2391637,master file inventory,主檔案庫存，主檔案清單,,2015-09-11
2391638,master file job processing,主檔案工件處理,,2015-09-11
2391639,master file program，MFP,主檔案程式,,2015-09-11
2391640,master file table,主檔表,,2015-09-11
2391641,master file tape,主檔案帶,,2015-09-11
2391642,master file update program,主檔更新程式,,2015-09-11
2391643,master file utility routines,主檔案公用程式常式,,2015-09-11
2391644,master file，MF,主檔案，主檔,,2015-09-11
2391645,master flipflop,主正反器,,2015-09-11
2391646,master font file,主字型檔案,,2015-09-11
2391647,master frequency generator,主頻產生器,,2015-09-11
2391648,master group,主群，主組,,2015-09-11
2391649,master group information system，MAGI,主群資訊系統,,2015-09-11
2391650,master heading,主標頭,,2015-09-11
2391651,master history file,主歷史檔案,,2015-09-11
2391652,master I/O control block，MIOCB,主輸入輸出控制塊,,2015-09-11
2391653,master image,主影像,,2015-09-11
2391654,master index,主索引,,2015-09-11
2391655,master instruction tape，MIT,主指令帶，主指令磁帶,,2015-09-11
2391656,master international frequency register，MIFR,主國際頻率暫存器,,2015-09-11
2391657,master interrupt control，MIC,主中斷控制,,2015-09-11
2391658,master items planning report,主項計畫報表,,2015-09-11
2391659,master key,主鍵，主鑰,,2015-09-11
2391660,master key (train),主控鑰匙；電聯車主控鑰匙,,2015-09-11
