編號,原文,臺灣用語,大陸用語,其他用語,
1,[write-to-read] crossfeed,寫讀串擾,寫讀串擾 ,,
2,0-type grammar,0 型文法,0 型文法 ,,
3,10base2,10base2規格,,,
4,10base5,10base5規格,,,
5,10broad36,10broad36規格,,,
6,1-3 tree,1-3樹,1-3樹,,
7,16/32 bit computer,16/32位元電腦,,,
8,2-3 tree insert,2-3樹插入,,,
9,2-3 tree search,2-3樹搜尋,,,
10,2-3 trees,2-3樹,2-3樹,,
11,2DD diskette,雙面倍密度磁片,,,
12,2-tree,2-樹,2樹,,
13,2-wire normal quality,2線正規品質,,,
14,386 enhance mode,386增強模式,,,
15,4-wire normal quality,4線正規品質,,,
16,80-column card,80欄卡,,,
17,8-bit byte,8位元 位元組,八位字節；8位字節,,
18,90-column card,90欄卡,,,
19,α-β pruning,α－β修剪,α-β剪枝 ,,
20,λ-calculus,λ演算,λ演算 ,,
