編號,原文,臺灣用語,大陸用語,其他用語,
1,A algorithm,A演算法,算法,,
2,A departmental reporting system,部門報告系統,,,
3,A hardware programming language,硬體程式設計語言,,,
4,A multi-access on-line system,多存取連線系統,,,
5,a prior information,先驗資訊,,,
6,A programming language,APL程式設計語言,APL語言,,
7,A retrieval process language,檢索處理語言,,,
8,A string,A字串,,,
9,A* algorithm,A*演算法,算法,,
10,A. C. dump,交流斷電,,,
11,A/D conversion,類比／數位轉換,,,
12,A/D converter,類比／數位轉換器,模／數轉換器,,
13,A/R age month,A/R帳齡月數；應收帳齡,,,
14,A/R due month,A/R到期月；應收帳到期月,,,
15,AAL,ATM調適層,ATM適配層 ,,
16,A-AND-NOT-B gate,A及反B閘,禁止門，A與B非門,,
17,A-B rolls,AB雙捲,,,
18,abacus,算盤,,,
19,abandon,放棄；作廢,,,
20,abbe constant,阿貝常數,,,
21,abbreviate,簡寫；縮寫,,,
22,abbreviated address,簡略位址,,,
23,abbreviated address call,簡略位址呼叫,,,
24,abbreviated address calling,簡碼呼叫,縮址呼叫 ,,
25,abbreviated addressing,簡略定址,,,
26,abbreviated answer,簡略回答,,,
27,abbreviated argument list,簡略引數表,,,
28,abbreviated call,簡略呼叫；簡呼,,,
29,abbreviated call letters,簡略呼叫字母,,,
30,abbreviated character,簡化字元,,,
31,abbreviated combined relation condition,簡化複合關係條件,,,
32,abbreviated dial system,簡略撥號系統,,,
33,abbreviated dialing,簡略撥號,,,
34,abbreviated form,簡化形式；簡表,,,
35,abbreviated header,縮化標題,,,
36,abbreviated indication,簡略指示,,,
37,abbreviated installation,簡略安裝,,,
38,abbreviated keyword,簡略關鍵字,,,
39,abbreviated name,縮寫名稱,,,
40,abbreviated notation,簡略記法,,,
41,abbreviated relation condition,簡略關係條件,,,
42,abbreviated table,簡略表,,,
43,abbreviating keyboard command,簡略鍵盤命令,,,
44,abbreviation,縮寫；縮語,,,
45,abbreviation document,縮寫文件,,,
46,abbreviation extraction,縮寫擷取,縮寫抽取 ,,
47,ABC analysis,ABC分析,,,
48,ABC automatic coding system,ABC器材自動編碼系統,,,
49,abductive reasoning,反繹推理,反繹推理 ,,
50,abend,異常終止[See abnormal end],,,
51,abend dump,異常終止傾印,異常終止轉儲 ,,
52,abend exit,異常跳出,異常終止出口 ,,
53,abnormal,異常,,,
54,abnormal circumstance,異常情況,,,
55,abnormal dump out,異常傾印輸出,,,
56,abnormal end,異常終止,,,
57,abnormal ending,異常結束,,,
58,abnormal error,異常錯誤,,,
59,abnormal exit,異常跳出,,,
60,abnormal false,異常偽；異常假,,,
61,abnormal input cause,異常輸入原因,,,
62,abnormal return,異常轉回,,,
63,abnormal return address,異常轉回位址,,,
64,abnormal termination,異常終止,,,
65,abnormal true test,異常真測試,,,
66,abort,打斷；放棄；異常中止,異常中止 ,,
67,abort advisory channel,異常終止諮詢通道,,,
68,abort key,中止鍵,中止鍵 ,,
69,abort program assembly,異常終止程式組合,,,
70,abort sensing and implementation system,異常終止感測和實作系統,,,
71,abort sequence,放棄序列,放棄序列, *異常中止序列 ,,
72,abort statement,異常中止敘述,,,
73,abort timer,放棄計時器,,,
74,absolute accuracy,絕對準確度,,,
75,absolute address,絕對位址,絕對地址 ,,
76,absolute addressing,絕對定址,絕對編址,,
77,absolute addressing index,絕對定址索引,,,
78,absolute ampere,絕對安培,,,
79,absolute assembler,絕對組合程式,,,
80,absolute assembly language,絕對組合語言,,,
81,absolute code,絕對碼,,,
82,absolute command,絕對命令,,,
83,absolute coordinate,絕對坐標,,,
84,absolute data,絕對資料,,,
85,absolute diskette read,絕對磁片讀取,,,
86,absolute diskette write,絕對磁片寫入,,,
87,absolute electrostatic unit,絕對靜電單位,,,
88,absolute error,絕對誤差,,,
89,absolute format,絕對格式,,,
90,absolute indexed mode,絕對索引模式,,,
91,absolute insert mode,絕對插入模式,,,
92,absolute instruction,絕對指令,,,
93,absolute language,絕對語言,,,
94,absolute loader,絕對載入器,絕對地址裝入程序,,
95,absolute location,絕對位置,,,
96,absolute machine code,絕對機器碼,絕對機器代碼 ,,
97,absolute maximum rating,絕對最大額定值,絕對最大額定值,,
98,absolute mode,絕對模式,,,
99,absolute module,絕對模組,,,
100,absolute name,絕對名稱,,,
101,absolute object program,絕對目的程式,,,
102,absolute order,絕對次序,,,
103,absolute overwrite mode,絕對重寫模式,,,
104,absolute plotter control,絕對繪圖器控制,,,
105,absolute point,絕對點,,,
106,absolute program,絕對程式,,,
107,absolute program loader,絕對程式載入器,,,
108,absolute programming,絕對程式設計,,,
109,absolute resolution,絕對解析度,絕對分辨率 ,,
110,absolute section,絕對區段,,,
111,absolute shared region,絕對共享區域,,,
112,absolute term,絕對項,,,
113,absolute time,絕對時間,,,
114,absolute time base error,絕對時基誤差,,,
115,absolute value,絕對值,,,
116,absolute value computer,絕對值電腦,,,
117,absolute vector,絕對向量,,,
118,absolute virtual address,絕對虛擬位址,,,
119,absorbency,吸墨性,吸墨性 ,,
120,absorption index,吸收指數,,,
121,abstract,摘要；抽象,(1)摘要，簡介(2)摘錄(3)抽象,,
