編號,原文,臺灣用語,大陸用語,其他用語,
1,B address,B（型）位址,B地址,,
2,B axis,基線軸,B軸,,
3,B extent,基線範圍,B範圍,,
4,B to B,企業對企業,企業對企業 ,,
5,B to C,企業對客戶,企業對客戶 ,,
6,B to G,企業對政府,企業對政府 ,,
7,B tree,B 樹,B 樹 ,,
8,B*-tree,B*樹,B*樹,,
9,B+ tree,B+ 樹,B+ 樹 ,,
10,B+-tree,B+樹,B+樹,,
11,b-1's complement,(b-1)補數,(b-1)補碼,,
12,babble,串音,〔多路通信系統的〕集擾，串音，多路感應的複雜失真（畸變）,,
13,bachelor of business administration	,企業管理學士,,,
14,Bachman diagram,巴赫門圖,,,
15,Bachman notation,巴赫門表示法,,,
16,back,背面,背面,,
17,back acknowledge,還回應答,返回應答,,
18,back azimuth,反方位角,反方位角,,
19,back chaining,反鍊接,倒車制舵鏈,,
20,back character,退格字符元,倒退字符,,
21,back clipping plane,後剪平面,反剪平面,,
22,back edge,回邊,回邊 ,,
23,back file,備份檔案,備份文件；過期刊物檔,,
24,back focal length	,後焦距,,,
25,back link,反向鏈接,後連桿，回指連接,,
26,back lobe,後瓣,後波瓣，尾波瓣,,
27,back mark,背面標示,後標示；折標,,
28,back marker	,背面標誌,,,
29,back matter,索引；附錄,書後資料；正文後的附錄、參考目錄、索引,,
30,back number,過期期刊號,過期雜誌；過時的方法,,
31,back office box	,備用辦公箱,,,
32,back order,未出貨訂單,延期交貨,,
33,back panel,後面板,底板，後面板,,
34,back patching,向後修補；回插,,,
35,back plane,後平面；底板,底板 ,,
36,back propagation,反向傳播,反傳,,
37,back propagation algorithm,反向傳播算法,,,
38,back recovery,返回恢復,返回恢復 ,,
39,back scattering,向後散射；反向散射,反向散射,,
40,back translator,還原翻譯器,,,
41,back wiring operation,反面佈線作業,背面佈線操作,,
42,backboard,底板,底板,,
43,backbone,基幹,基幹,,
44,backbone bus,主幹匯流排,主干總線 ,,
45,backbone network,基幹網路,主干網 ,,
46,backbone ring,基幹環,,,
47,backbone route,基幹路線,基幹路由，基幹路線,,
48,back-diagonal,反對角線,反對角線,,
49,backdoor,後門,后門 ,,
50,backdoor data,非法途徑取得的資料,非法途徑的數據信息,,
51,backdoor file indicator,非法檔案指示器,非法文件指示器,,
52,back-end network,後端網路（網）,后端網 ,,
53,back-end networking,後端網路（網）,後端網,,
54,back-end processor,後端處理機,後端〔處理〕機,,
55,back-feed	,回送,,,
56,backflush,逆算法,回洗，反沖洗,,
57,background,後台；背景；底色,后台 ,,
58,background border,背景邊界,後台邊界,,
59,background color,底色,背景色 ,,
60,background compiler,後台編譯程式,後台編譯程序,,
61,background computer,後台計算機,後台計算機,,
62,background data,背景資料,背景數據信息,,
63,background data terminal,背景資料終端機,背景數據信息終端設備,,
64,background display image,背景顯示影像,背景顯示圖像,,
65,background foreground	,背景／前景,,,
66,background image,背景影像,背景圖像,,
67,background initiator,背景啟動器,后台初啟程序 ,,
68,background ink,背景墨水,背景墨水,,
69,background inking,背景上墨,背景著墨,,
70,background job,背景工件,后台作業 ,,
71,background limited infrared detector,背景限制紅外線檢測器,背景限紅外光檢波器,,
72,background mode,後台模式,后台操作方式 ,,
73,background monitor,後台監視器,后台監控程序 ,,
74,background noise,背景雜訊,背景噪音，後台干擾,,
75,background or bias-include noise,背景或偏移雜訊,,,
76,background paging,背景分頁,后台分頁 ,,
77,background partition,背景分區,后台分區 ,,
78,background plate,背景板,,,
79,background printing,後台列印,後台列印,,
80,background processing,背景處理,背景處理；後台處理,,
81,background program,背景程式,後台程序,,
82,background programming,背景程式設計,,,
83,background projection,背景投影,背景投影,,
84,background reader,後台閱讀機,,,
85,background reflectance,底色反射,背景反射性能，基底反光能力,,
86,background region,後台區域,后台區 ,,
87,background research,背景研究,後台研究,,
88,background scheduler,背景排程器,后台調度程序 ,,
89,background storage,後台儲存器,後台存儲器,,
90,background stream,後台流,後台流,,
91,background system,後台系統,後台系統,,
92,background task,背景任務,后台任務 ,,
93,background terminal,後台終端設備,後備終端設備,,
94,background text,背景文字,,,
95,backgrounding,背景處理,,,
96,back-haul,空載傳輸,回程運輸,,
97,backing,逆轉；備份,逆轉,,
98,backing copy,備份複製,,,
99,backing sheet,備份表,底板,,
100,backing storage,備份儲存器,後備存儲器,,
101,backing store,備份儲存,後備存儲,,
102,backing tape,備份磁帶,〔磁〕帶基,,
103,backlash,反衝,反衝，後衝力,,
