編號,原文,臺灣用語,大陸用語,其他用語,
1,E beam,電子束,,,
2,E beam bonding,電子束焊,,,
3,E layer,電離層,,,
4,E notation,E表示法,,,
5,E register,擴充暫存器,,,
6,E type compensation,E型補償,,,
7,E value,E值,,,
8,E. L. cell,場致發光單元,,,
9,earliest starting time,最早起動時間,,,
10,early date,早期日期,,,
11,early failure,早期失效,早期失效 ,,
12,early installation support,早期安裝支援,,,
13,early processing,早期處理,,,
14,early programming language,早期程式設計語言,,,
15,early support program,早期支援程式,,,
16,early vision,早期視覺,初級視覺 ,,
17,early warning,預警,,,
18,early warning signal,預警信號,,,
19,early warning system,預警系統,,,
20,earnings,盈餘；收入,,,
21,earth ground,大地,大地, *地球地 ,,
22,earth landing system,著地系統,,,
23,earth station,地面站,,,
24,earth station disks,地面站碟,,,
25,earth switch,接地開關,,,
26,earthing conductor,接地導體,,,
27,East Asian character codes,東亞字元碼,,,
28,East Asian character sets,東亞字元集,,,
29,easy axis,易磁化軸,,,
30,easy processing channel,易處理通道,,,
31,easycoder to COBOL,COBOL簡易編碼器,,,
32,eaves dropping,竊聽,,,
33,eavesdropping,竊聽,竊聽 ,,
34,EBCDIC code,EBCDIC碼,,,
35,EBL,說明為本的學習,基于解釋[的]學習 ,,
36,EC,電子商務,電子商務 ,,
37,EC level,工程變更層次,,,
38,ECA rule,事件-條件-動作規則,事件-條件-動作規則, *ECA規則 ,,
39,ECB,事件控制塊,事件控制塊 ,,
40,ECC,錯誤檢查與校正,差錯校驗 ,,
41,ECC,錯誤校正碼,糾錯碼 ,,
42,ECC,橢圓曲線密碼系統,橢圓曲線密碼體制 ,,
43,Eccles-Jordan circuit,愛克士約丹電路,,,
44,Eccles-Jordan trigger,愛克士約丹觸發器,,,
45,echo,回應；回音,回送 ,,
46,echo ,回訊（電腦圖形的）,,,
47,echo attenuation,回音衰減,,,
48,echo back,回音返回,,,
49,echo cancellation,回音消除,,,
50,echo check,回波核對,回送檢驗 ,,
51,echo control,回音控制,,,
52,echo mode,回波模態,,,
53,echo off,回送關閉,回送關閉 ,,
54,echo on,回送開放,回送開放 ,,
55,echo plex,回送叢,,,
56,echo suppressor,回音抑制器,,,
57,echo talker,回音干擾,,,
58,echoplex,回送方式,回送方式 ,,
59,echoplex mode,回送模,,,
60,ECL,射極耦合邏輯,射極耦合邏輯 ,,
61,econometric model,計量經濟模型,計量經濟模型 ,,
62,econometric software package,計量經濟套裝軟體,,,
63,economic analysis,經濟分析,,,
64,economic feasibility,經濟可行性,經濟可行性 ,,
65,economic information system,經濟資訊系統,經濟信息系統 ,,
66,economic inventory procedures,經濟庫存程序,,,
67,economic life,經濟生命,,,
68,economic lot size,經濟批量,,,
69,economic model,經濟模型,經濟模型 ,,
70,economic order quantity,經濟訂購量,,,
71,economic ordering quantity,經濟訂購量,,,
72,economical order quantity,經濟訂購量,,,
73,E-cycle,E週期,,,
74,EDA,電子設計自動化,電子設計自動化 ,,
75,EDB,工程資料庫,工程數據庫 ,,
76,EDC,錯誤檢測碼,檢錯碼, *差錯檢測碼 ,,
77,edge,邊緣,邊緣 ,,
78,edge connector,邊緣連接器,[插件]邊緣連接器 ,,
79,edge cover,邊覆蓋,邊覆蓋 ,,
80,edge detection,邊檢測,邊緣檢測 ,,
81,edge detection operator,邊檢測運算子,,,
82,edge enhancement,邊緣增強,邊緣增強 ,,
83,edge extracting,邊緣擷取,邊緣提取 ,,
84,edge fault,邊緣故障,邊緣故障 ,,
85,edge finding,邊緣找尋,,,
86,edge fitting,邊緣配適,邊緣擬合 ,,
87,edge focusing,邊緣聚焦,邊緣聚焦 ,,
88,edge generalization,邊緣概括,邊緣泛化 ,,
89,edge illusory,邊緣錯覺,邊緣錯覺 ,,
90,edge image,邊緣圖像,邊緣圖像 ,,
91,edge lighted display,邊緣發光顯示器,,,
92,edge linking,邊緣連接,邊緣連接 ,,
93,edge matching,邊緣匹配,邊緣匹配 ,,
94,edge notched card,刻緣卡（片）,,,
95,edge operator,邊緣運算子,邊緣算子 ,,
96,edge perforated card,邊緣打孔卡,,,
97,edge pixel,邊緣像素,邊緣像素 ,,
98,edge punched card,邊緣打孔卡（片）,,,
99,edge receptacle,邊插座,,,
100,edge segmentation,邊緣分段,邊緣分割 ,,
101,edge trigging,邊緣觸發,邊沿觸發 ,,
102,edgeboard connector,邊緣板連接器,,,
103,edge-triggered clocking,邊緣觸發計時,邊緣觸發時鐘 ,,
104,EDI,電子資料交換,電子數據交換 ,,
105,EDI for administration,行政商業運輸電子數據交換標準,政商運電子數據交換[標准], *跨行業電子數 ,,
106,EDI forwarding,電子資料交換轉接,,,
107,EDI message,電子資料交換訊息,電子數據交換消息, *EDI消息 ,,
108,EDI message responsibility,電子資料交換訊息回應性,,,
109,EDI messaging,電子資料交換處理,電子數據交換消息處理, *EDI消息處理 ,,
110,EDI messaging system,電子資料交換系統,,,
111,EDI notification,電子資料交換通知,,,
112,EDI service,電子資料交換服務,,,
113,EDIFACT,電子資料交換協會,,,
114,EDIM,電子資料交換訊息,電子數據交換消息, *EDI消息 ,,
115,EDIMG,電子資料交換訊息,電子數據交換消息處理, *EDI消息處理 ,,
116,Edison,Edison語言,,,
117,edit,編輯,編輯,,
118,edit buffer,編輯緩衝器,,,
119,edit control character,編輯控制字元,,,
120,edit directed input/output,編輯式輸入輸出,,,
121,edit directed stream I/O,編輯導引輸入輸出流,,,
122,edit lines command,編輯行命令,,,
123,edit mode,編輯模態,,,
124,edit routine,編輯常式,,,
125,edit string,編輯字串,,,
126,edit symbol,編輯符號,,,
127,editable stored program,可編輯儲存程式,,,
128,editing,編輯；編排,,,
129,editing character,編輯字元,,,
130,editing clause,編輯子句,,,
131,editing environment,編輯環境,,,
132,editing input data,編輯輸入資料,,,
133,editing key,編輯鍵,,,
134,editing mode,編輯模態,,,
135,editing routine,編輯常式,,,
136,editing subroutine,編輯次常式,,,
137,editing values,編輯屬性數值,,,
138,editing window,編輯視窗,,,
139,edition,版；編輯,,,
140,editor,編輯器；編輯程式,編輯程序, *編輯器 ,,
141,editor card,卡片編輯器,,,
142,editor function,編輯器功能,,,
143,editor linkage,鏈結編輯器,,,
144,editor math,數學編輯器,,,
145,editor menu,編輯器選項單,,,
146,editor mode,編輯模態,,,
147,editor print-punch,印打編輯器,,,
148,editor punch-print,打印編輯器,,,
149,EDL,事件定義語言,事件定義語言 ,,
150,EDO,擴充資料輸出,擴充數據輸出 ,,
151,EDP auditors' foundation,EDP稽核基金會,,,
152,EDR,電子設計規則,電子設計規則 ,,
153,education on demand,隨選教育,教育點播 ,,
154,education on information technology,資訊技術教育,,,
155,educational information network,教育資訊網路,,,
156,educational television,教育電視,,,
157,educomp time-shared operating system,教育計算機分時作業系統,,,
158,EES,託管加密標準,托管加密標准 ,,
159,effect of action,效應行動,,,
160,effective address,有效位址,,,
161,effective bandwidth,有效頻寬,,,
162,effective byte,有效位元組,,,
163,effective character number,有效字元數,有效字數 ,,
164,effective data transfer rate,有效數據傳輸率,,,
165,effective date,有效日期,,,
166,effective double-word,有效雙字,,,
167,effective frame,有效框架,,,
168,effective half-word,有效半字,,,
169,effective half-word address,有效半字位址,,,
170,effective information rate,有效資訊率,,,
171,effective instruction,有效指令,,,
172,effective noise bandwidth,有效雜訊頻寬,,,
173,effective operand address,有效運算元位址,,,
174,effective procedure,有效程序,有效過程 ,,
175,effective radiated power,有效輻射功率,,,
176,effective rights,有效權限,,,
177,effective signal duration,有效信號期間,,,
178,effective sound pressure,有效聲壓,,,
179,effective speed,有效速率,,,
180,effective switching field,有效開關場,,,
181,effective time,有效時間,,,
182,effective track width,有效磁軌寬度,,,
183,effective transfer rate,有效轉移率,有效傳送率,,
184,effective transmission,有效傳輸,,,
185,effective transmission rate,有效傳輸率,,,
186,effective transmission speed,有效傳輸速率,,,
