編號,原文,臺灣用語,大陸用語,其他用語,
1,fable,fable語言,,,
2,fabricated item,加工項,,,
3,fabricated language,加工語言,,,
4,fabricated part,加工零件,,,
5,fabricate-to-stock,存量式加工,,,
6,fabrication,加工,,,
7,fabrication order,加工命令,,,
8,face,面,,,
9,face bold,粗體,,,
10,face bond,面接法,,,
11,face bonding material,面接合材料,,,
12,face bonding technique,面焊技術,,,
13,face card,卡面,,,
14,face change character,字型改變字元,,,
15,face character nonimpact printing technique,面字元非撞擊列印技術,,,
16,face chip,面晶片,,,
17,face chromatic number,面色數,,,
18,face classification,面貌分類法,,,
19,face colorable plane,面著色平面,,,
20,face coloring,面著色,,,
21,face down bonding,倒裝焊接,,,
22,face down feed,俯饋,,,
23,face in frame,框架側面,,,
24,face inner,內面,,,
25,face outer,外面,,,
26,face shield,面屏蔽,,,
27,face structure,面結構,,,
28,face time,會面時間,會面時間 ,,
29,face-based representation,以面為主的表示,基于面的表示 ,,
30,face-down bonding,倒裝焊接,倒焊 ,,
31,facet,小平面,刻面 ,,
32,facet analysis,小平面分析,,,
33,facet keyed element,側面關鍵字元素,,,
34,facet name,小平面名,,,
35,faceted classification,分面分類,逐面分類法 ,,
36,face-up bonding,正焊法,,,
37,face-up feed,仰饋,,,
38,facilitation agent,設施代理,設施主體 ,,
39,facility,設施；設備,設施 ,,
40,facility allocation,設施分配,設施分配 ,,
41,facility assignment,設施指定,,,
42,facility comparison,設施比較,,,
43,facility control form	,設施控制表格,,,
44,facility control	,設施控制,,,
45,facility control/power management	,設施控制／電源管理,,,
46,facility data report	,設施資料報表,,,
47,facility design criteria document	,設施設計準則文件,,,
48,facility field,設施欄,,,
49,facility for automatic sorting and testing	,自動分類與測試設施,,,
50,facility gauge	,設施線規,,,
51,facility inventory,設施庫存,,,
52,facility library,設施程式館,,,
53,facility management,設施管理,設施管理 ,,
54,facility management reporting	,設施管理報告,,,
55,facility management	,設施管理,,,
56,facility power monitor	,設施功率監視器,,,
57,facility record,設施記錄,,,
58,facility request,設施請求,設施請求 ,,
59,facility utilization,設施利用,,,
60,facility work order,設施工作次序,,,
61,FACOM automatic symbolic program,FACOM自動符號程式,,,
62,facom-hitac limited	,富士通－日立有限公司,,,
63,facsimile amplitude modulation mode	,傳真調幅模式；傳真調幅方式,,,
64,facsimile apparatus,傳真儀器,,,
65,facsimile baseband,傳真基頻帶,,,
66,facsimile character generation,傳真字元產生,,,
67,facsimile communications system	,傳真通信系統；傳真通訊系統,,,
68,facsimile converter,傳真轉換器,,,
69,facsimile copy,傳真複製,,,
70,facsimile density,傳真密度,,,
71,facsimile equipment,傳真設備,,,
72,facsimile mail,傳真郵件,,,
73,facsimile modulation,傳真調變,,,
74,facsimile network,傳真網路,,,
75,facsimile posting,傳真告示,,,
76,facsimile printer,傳真列印機,,,
77,facsimile receiver,傳真接收機,,,
78,facsimile receiving converter,傳真接收轉換器,,,
79,facsimile recorder,傳真記錄器,,,
80,facsimile recording,傳真記錄,,,
81,facsimile reporting code,傳真報告密碼,,,
82,facsimile service,傳真服務,,,
83,facsimile signal,傳真信號,,,
84,facsimile signal converter,傳真信號轉換器,,,
85,facsimile signal level,傳真信號位準,,,
86,facsimile signal simulator,傳真信號模擬器,,,
87,facsimile switching,傳真交換,,,
88,facsimile switching unit	,傳真交換裝置,,,
89,facsimile synchronizing,傳真同步,,,
90,facsimile system	,傳真系統,,,
91,facsimile telegram,傳真電報,,,
92,facsimile telegraph,傳真電報,,,
93,facsimile telegraphy,傳真電報,,,
94,facsimile transmission,傳真傳輸,,,
95,facsimile transmission system	,傳真傳輸系統,,,
96,facsimile transmitter,傳真傳輸器,,,
97,facsimile transmitting converter,傳真傳輸轉換器,,,
98,facsimile	,傳真,,,
99,fact,事實,事實 ,,
100,fact answer database,事實叵答資料庫,,,
101,fact bank,事實記憶庫,,,
102,fact base,事實庫,事實庫 ,,
103,fact based data analysis,基於事實資料分析,,,
104,fact checking function,事實檢查函數,,,
105,fact correlation,事實關聯性,,,
106,fact database,事實資料庫,,,
107,fact expression,事實表式,,,
108,fact file,事實檔案,,,
109,fact node,事實節點,,,
110,fact object,事實物件,,,
111,fact retrieval,事實檢索,,,
112,factor,因子；因式；因數,,,
113,factor affecting efficiency,影響效率因子,,,
114,factor allocation,因子分配,,,
115,factor analysis,因子分析,,,
116,factor clause,因子子句,,,
117,factor experimental,實驗因子,,,
118,factor groupoid,因子廣義群,,,
119,factor of cooperation,合作因數,,,
120,factor out,析出因數,,,
121,factor scale,因子標度,,,
122,factor set,因子集,,,
123,factor syntax,因子語法,,,
124,factor total,因子總計,,,
125,factorable graph,因子分解圖,,,
126,factorial,階乘,,,
127,factorial design,階乘設計,,,
128,factorial experiment design,階乘實驗設計,,,
129,factorial function,階乘函數；階乘功能,,,
130,factorial operator,階乘運算子,,,
131,factorial power,階乘羃,,,
132,factorial sign,階乘記號,,,
133,factoring,因子分解,,,
134,factoring file specification,因子分解檔案規格,,,
135,factoring method,因子分解法,因子分解法 ,,
136,factoring of attributes,屬性因子分解,,,
137,factorization,因式分解；分解,,,
138,factorization into prime numbers,分解成質因數,,,
139,factorization of repairs,修復因子分解,,,
140,factorization of transformation,變換因子分解,,,
141,factorization technique,因式分解技術,,,
142,factorization theorem,因式分解定理,,,
143,factory automation	,工廠自動化,,,
144,factory data collection system,工廠資料收集系統,,,
145,factory engineer,工廠工程師,,,
146,factory feed back and reports,工廠回饋和報告,,,
147,factory testing,工廠測試,,,
148,factual compiler	,實質編譯器,,,
149,facula,光斑,,,
150,fade,衰落,,,
151,fade area,衰落區,,,
152,fade chart,衰落圖,,,
153,fade down	,下衰落,,,
154,fade failsafe facility,衰落故障安全設施,,,
155,fade indicator,衰落指示器,,,
156,fade zone,衰落區域,,,
157,fade-in,淡入,淡入 ,,
158,fade-out,淡出,淡出 ,,
159,fading,衰落,,,
160,fading depth,衰落深度,,,
161,fading effect,衰落效應,,,
162,fading flat,等比衰落,,,
163,fading margin,衰落容限,,,
164,fading memory filter,記憶體衰落篩選程式,,,
165,fading period,衰落週期,,,
166,fading range,衰落範圍,,,
167,fading region,衰落區域,,,
168,fading rise,衰落上升,,,
169,fading selective,選擇衰落,,,
170,fading signal,衰落信號,,,
171,fail,失效,故障 ,,
172,fail address,失效位址,,,
173,fail category,故障種類,,,
174,fail data,失效資料,,,
175,fail links,故障鏈,,,
176,fail mask mode,失效遮罩模,,,
177,fail memory,失效記憶體,,,
178,fail safe,失效仍安全；故障安全,故障保險 ,,
179,fail silent,故障沉默,故障沉默 ,,
180,fail-all fault simulation,全故障模擬,,,
181,fail-frost,故障凍結,故障凍結 ,,
182,failing unit,故障的裝置,,,
183,fail-over,故障復原,故障切換 ,,
184,failsafe,失效仍安全；故障安全,,,
185,fail-safe,失效仍安全；故障安全,故障安全, *故障無礙 ,,
186,failsafe control,故障安全控制,,,
187,failsafe facility,故障安全設施,,,
188,failsafe nature,故障安全本質,,,
189,failsafe operation,故障安全作業；失敗安全運作,,,
190,failsafe program,故障安全程式,,,
