編號,原文,臺灣用語,大陸用語,其他用語,
1,G loop,G環,,,
2,G.G.G. material,GGG材料,,,
3,G1 continuity,一階幾何連續,一階几何連續, *G1連續 ,,
4,G2 continuity,二階幾何連續,二階几何連續, *G2連續 ,,
5,Gabor code,Gabor碼,,,
6,Gabor transformation,Gabor變換,加博變換 ,,
7,gadolinium gallium garnet	,釓鎵榴石型鐵氧體,,,
8,gain,增益,,,
9,gain control,增益控制,,,
10,gain factor,增益因數,,,
11,gain field,增益欄,,,
12,gain flatness,增益平度,,,
13,gain frequency characteristic,增益頻率特性,,,
14,gain margin,增益邊際,,,
15,gain slope,增益斜率,,,
16,GAL,同屬陣列邏輯,通用陣列邏輯[電路] ,,
17,galloping '1's and '0's,躍步零與壹,,,
18,galloping test,躍步測試,跳步測試 ,,
19,Galois field,高氏場,,,
20,galvanic separation,電流阻斷,,,
21,game,競賽；博弈；對策,博弈, *對策 ,,
22,game graph,競賽圖,博弈圖 ,,
23,game machine,競賽機,,,
24,game management,管理競賽,,,
25,game model,競賽模型,,,
26,game player,競賽參加者；競賽計算機,,,
27,game playing,競賽,,,
28,game port,競賽埠,,,
29,game program,競賽程式,,,
30,game theory,競賽理論,博弈論, *對策論 ,,
31,game theory-based negotiation,競賽理論為主協商,基于博弈論協商 ,,
32,game tree,競賽樹,博弈樹 ,,
33,game tree search,競賽樹搜尋,博弈樹搜索 ,,
34,gaming,競賽,,,
35,gaming machine,競賽機,,,
36,gaming simulation,競賽模擬,對策仿真 ,,
37,gamma camera interface,伽馬攝影機介面,,,
38,gamma distribution,伽馬分配,,,
39,gamma function,伽馬函數,,,
40,gang,成群；成組,,,
41,gang of nine,成組的九,,,
42,gang punch,成組打孔,,,
43,Gantt chart,甘特圖；橫條圖,,,
44,gap,間隙,間隙 ,,
45,gap analysis,間隙分析,,,
46,gap azimuth,間隙方位,,,
47,gap block,間隙段,,,
48,gap character,間隙字元；空隙字,,,
49,gap coding,間隙編碼,,,
50,gap depth,間隙深度,,,
51,gap digit,間隙數位,,,
52,gap file,間隙檔案,,,
53,gap filler input,間隙填料輸入,,,
54,gap filling,間隙填充,,,
55,gap interblock,間隙塊間,,,
56,gap interrecord,間隙錄間,,,
57,gap interword,間隙字間,,,
58,gap length,間隙長度,,,
59,gap of bit,位元間隙,,,
60,gap of key,關鍵值間隙,,,
61,gap record,間隙記錄,,,
62,gap scatter,間隙散佈,,,
63,gap seal,間隙密封,,,
64,gap test,間隙測試,,,
65,gap theorem,間隙定理,間隙定理 ,,
66,gap width,間隙寬度,間隙寬度,,
67,gap word,間隙字,,,
68,gapless,無隙,,,
