編號,原文,臺灣用語,大陸用語,其他用語,
1,H ∞ identification,H無窮識別,H無窮辨識 ,,
2,hacker,駭客,程序高手 ,,
3,Hadamard transformation,哈達馬德變換,,,
4,half,半；一半,,,
5,half adder,半加器,半加器 ,,
6,half byte,半位元組,,,
7,half byte aligned,半位元組對齊,,,
8,half subtracter,半減器,半減器 ,,
9,half-add,半加,,,
10,half-adder,半加器,半加器,,
11,half-adding,半加法,,,
12,half-adjust,捨入,,,
13,half-amplitude basic pulse width,半振幅基本脈寬,,,
14,half-bubble,半磁泡,,,
15,half-carry,半進位,,,
16,half-current,半電流,,,
17,half-duplex channel,半雙工通道,,,
18,half-duplex contention,半雙工競爭,,,
19,half-duplex line,半雙工線路,,,
20,half-duplex link,半雙工鏈,,,
21,half-duplex operation,半雙工作業,,,
22,half-duplex service,半雙工服務,,,
23,half-duplex transmission,半雙工傳輸,半雙工傳輸 ,,
24,half-duplex,半雙工,,,
25,half-form character,半形字元,,,
26,half-gateway,半閘道,,,
27,half-height drive,半高,,,
28,half-height floppy disk drive,半高軟式磁碟機,,,
29,half-height micro Winchester disk drive,半高式微型溫徹斯特磁碟機,,,
30,half-inch tape,半英寸磁帶,,,
31,half-inch tape drive,半英寸磁帶機,,,
32,half-intensity,一半強度,,,
33,half-interval search,區間分半搜尋,,,
34,half-life,半衰期,,,
35,half-line,半線,,,
36,half-ordered set,半序集,,,
37,half-path,半路徑,,,
38,half-pin conductor,半插腳導線,,,
39,half-read pulse,半讀脈衝,,,
40,half-reflection,半反射,,,
41,half-select pulse,半選脈衝,,,
42,half-session,半對話期,,,
43,half-shift register,半移位暫存器,,,
44,half-sine,半正弦,,,
45,half-sinusoid,半正弦曲線,,,
46,half-size,半形,,,
47,half-space,半空格,,,
48,half-speed,半速度,,,
49,half-subtracter,半減器,半減器,,
50,half-time emitter,半時發射器,,,
51,halftone,半色調,半色調 ,,
52,half-tone,半色調,,,
53,halftone image,半色調圖像,半色調圖像 ,,
54,half-tone process,半色調處理,,,
55,half-value period,半衰期,,,
56,half-wave,半波,,,
57,half-wave rectifier,半波整流器,,,
58,half-word,半字,,,
59,half-word boundary,半字界,,,
60,half-word buffer,半字緩衝器,,,
61,half-word input,半字輸入,,,
62,half-word output,半字輸出,,,
63,half-write pulse,半寫脈衝,,,
64,Hall effect,霍爾效應,,,
65,halt,停止,暫停 ,,
66,halt and proceed,停止與繼續進行,,,
67,halt burst mode,暫停猝發模,,,
68,halt condition,停機條件,,,
69,halt cycle,停止週期,,,
70,halt indicator,停機指示器,,,
71,halt input,停機輸入,,,
72,halt instruction,停機指令；暫停指令,,,
73,halt mode,停機模,,,
74,halt number,停機號,,,
75,halt phase,停機階段,,,
76,halt problem,停機問題,,,
77,halt problem mode,停機問題模態,,,
78,halt state,停止狀態,,,
79,halt switch,停機開關,,,
80,halted state,停止狀態,,,
81,halting execution,停止執行,,,
82,halting problem,自動機停機問題；停機問題,停機問題 ,,
83,halting problem of flowchart schema,流程圖綱目停機問題,,,
84,halting problem of Turing machine,杜林機停機問題,,,
85,halting processing state,暫停處理狀態,,,
86,halver operator,等分運算子,,,
87,halving circuit,平分電路,,,
88,halving register,平分暫存器,,,
89,halyard,升降索,,,
90,Hamilton circuit,漢米爾頓迴路,哈密頓回路 ,,
91,Hamilton circuit problem,漢米爾頓迴路問題,哈密頓回路問題 ,,
92,Hamilton path,漢米爾頓路徑,哈密頓路徑 ,,
93,hammer,字錘,錘頭 ,,
94,hammer bank,字錘組,,,
95,hammer code,字錘代碼,,,
96,hammer control logic,字錘控制邏輯,,,
97,hammer lever,字錘桿,,,
98,hammer machine,字錘機,,,
99,hammer magnet,字錘磁,,,
100,hammer shaft,字錘軸,,,
101,Hamming code,漢明碼,漢明碼 ,,
102,hamming correction code,漢明校正碼,,,
103,Hamming distance,漢明距離,漢明距離 ,,
104,Hamming weight,漢明權,,,
105,Hamming window,漢明窗,,,
106,HAMT,人工輔助機器翻譯,人助機譯 ,,
107,hand assembler,手工組合程式,,,
108,hand assembly language,手工組合語言,,,
109,hand calculator,手動計算器,,,
110,hand coded analyzer,手編分析器,,,
111,hand coded compiler,手編編譯程式,,,
112,hand computation,手工計算,,,
113,hand coordinate frame,手坐標協調框,,,
114,hand coordinate system,手坐標系統,,,
115,hand eye machine,手眼機,,,
116,hand feed punch,手饋打孔,,,
117,hand held calculator,手持型計算器；手持計算器,,,
118,hand held computer,手持式計算機,,,
119,hand held console,手持控制台,,,
120,hand held equipment,設備手持,,,
121,hand held scanner,手持掃瞄器,,,
122,hand holding,手持處置器,,,
123,hand operated punch card,人工操作打孔卡,,,
124,hand operation,手工操作,,,
125,hand over,轉移,,,
126,hand print data entry terminal,手工列印資料登錄終端機,,,
127,hand printed character recognition,手寫印刷體字元識別,,,
128,hand punch,手動打孔機,,,
129,hand written character,手寫字符,,,
130,hand written compiler,手寫編譯程式,,,
131,hand-flag transmission,手旗傳輸,,,
132,handheld computer,手持計算機,手持計算機 ,,
133,handing time,手算時間,,,
134,handle,處置；柄,句柄 ,,
135,handle head,句柄頭,,,
136,handle part,句柄部分,,,
137,handle tail,句柄尾,,,
138,handler,處置器；柄,,,
139,Handler classification schema,漢德勒分類綱目,,,
140,handler routine,處置器常式,,,
141,handling,處置,,,
142,handling capacity,處置能力；處理能力,,,
143,handling event function,處置事件功能,,,
144,handling failure,處置故障,,,
145,handling system,處置系統,,,
146,handling time,處置時間,,,
147,hands on,實作,,,
148,hands on background,實作背景,,,
149,hands on operation,實際操作；實作,,,
150,handset,手機,,,
151,handshake,交握,,,
152,handshake protocol,交握協定,,,
153,handshaking,交握,聯絡, *信號交換 ,,
154,handshaking modem,交握數據機,,,
155,handshaking procedure,交握程序,,,
156,handshaking sequence,交握順序,,,
157,handwriting,手寫體,,,
158,handwriting alphanumeric character,手寫文數字元,,,
159,handwriting character recognition,手寫字元辨識,,,
160,handwriting Chinese character,手寫中文字元,,,
161,handwriting Hanzi input,手寫漢字輸入,手寫漢字輸入 ,,
162,handwriting reader,手寫體閱讀機,,,
163,handwritten form,手寫體,手寫體 ,,
164,handwritten Hanzi recognition,手寫體漢字識別,手寫體漢字識別 ,,
165,handwritten numeral recognition,手寫數字辨識,,,
166,hang up,意外停機,意外停機 ,,
167,hanging,暫懸；懸宕,,,
168,hanging cursor position,暫懸游標位置,,,
169,hanging indent,暫懸內縮,,,
170,Hanzi,漢字,漢字 ,,
171,Hanzi attribute,漢字屬性,漢字屬性 ,,
172,Hanzi attribute dictionary,漢字屬性字典,漢字屬性字典 ,,
173,Hanzi card,漢卡,漢卡 ,,
174,Hanzi code for information interchange,漢字訊息交換碼,漢字信息交換碼 ,,
175,Hanzi code for interchange,漢字交換碼,漢字交換碼 ,,
176,Hanzi coded character set,漢字編碼字元集,漢字編碼字符集 ,,
177,Hanzi coding,漢字編碼,漢字編碼 ,,
178,Hanzi coding input method,漢字編碼輸入法,漢字編碼輸入方法 ,,
179,Hanzi coding scheme,漢字編碼綱目,漢字編碼方案 ,,
180,Hanzi coding technique,漢字編碼技術,漢字編碼技朮 ,,
181,Hanzi component,漢字組件,漢字部件 ,,
182,Hanzi control function code,漢字控制功能碼,漢字控制功能碼 ,,
183,Hanzi display terminal,漢字顯示終端機,漢字顯示終端 ,,
184,Hanzi expanded internal code specification,漢字擴展內碼規格,漢字擴展內碼規范 ,,
185,Hanzi features,漢字特徵,漢字特征 ,,
186,Hanzi font code,漢字字形碼,漢字字形碼 ,,
187,Hanzi font library,漢字字形庫,漢字字形庫 ,,
188,Hanzi form,字形,字形 ,,
189,Hanzi frequency,字頻,字頻 ,,
190,Hanzi generator,漢字產生器,漢字生成器 ,,
191,Hanzi handheld terminal,漢字手持終端機,漢字手持終端 ,,
192,Hanzi indexing system,漢字索引系統,漢字檢字法 ,,
193,Hanzi information condensed technology,漢字資訊壓縮技術,漢字信息壓縮技朮 ,,
194,Hanzi information processing,漢字資訊處理,漢字信息處理 ,,
195,Hanzi information processing technology,漢字資訊處理技術,漢字信息處理技朮 ,,
196,Hanzi ink jet printer,漢字噴墨印表機,漢字噴墨印刷機 ,,
197,Hanzi input,漢字輸入,漢字輸入 ,,
198,Hanzi input keyboard,漢字輸入鍵盤,漢字輸入鍵盤 ,,
199,Hanzi input program,漢字輸入程式,漢字輸入程序 ,,
