編號,原文,臺灣用語,大陸用語,其他用語,
1,I/O address space,輸入輸出位址空間,,,
2,I/O bound computation,輸入輸出限制計算,,,
3,I/O channel,輸入輸出通道,輸入輸出通道,,
4,I/O device assignment,輸入輸出裝置指定,輸入輸出設備指派 ,,
5,I/O device error recovery procedure,輸入輸出裝置錯誤復原程序,,,
6,I/O function code,輸入輸出功能碼,,,
7,I/O function modifier,輸入輸出功能更改符號,,,
8,I/O lockdown,輸入輸出鎖定,,,
9,I/O management,輸入輸出管理,輸入輸出管理 ,,
10,I/O mode,輸入輸出模式,,,
11,I/O operation,輸入輸出操作,,,
12,I/O pending,輸入輸出暫停,,,
13,I/O port,輸入輸出埠,,,
14,I/O processor,輸入輸出處理機,輸入輸出處理器 ,,
15,I/O queue,輸入輸出佇列,輸入輸出隊列 ,,
16,I/O redirection,輸入輸出重定向,,,
17,I/O request packet	,輸入輸出要求封包,,,
18,I/O rundown,輸入輸出停止,,,
19,I/O space,輸入輸出空間,,,
20,I/O status block	,輸入輸出狀態塊,,,
21,I/O unit,輸入輸出單元,,,
22,IAB,網際網路架構委員會,因特網﹝體系﹞結構委員會 ,,
23,IANA,網際網路編號管理局,因特網編號管理局 ,,
24,IAP,網際網路連線服務提供者,因特網接入提供者 ,,
25,IBC,網際網路商業中心,因特網商業中心 ,,
26,IBM AT,IBM AT型個人電腦,,,
27,IBM clone,IBM仿製品,,,
28,IBM LAN server,IBM區域網路伺服器,,,
29,IBM PC,IBM個人電腦,,,
30,IBM PC network,IBM個人電腦網路,,,
31,IBM personal computer,IBM個人電腦,,,
32,IBM personal computer AT,IBM AT型個人電腦,,,
33,IBM personal computer XT,IBM XT個人電腦,,,
34,IBM Personal System/2	,IBM PS/2個人系統,,,
35,IBM PS/2,IBM PS/2個人系統,,,
36,IBM token-ring,IBM符記環,,,
37,IBM XT,IBM XT個人電腦,,,
38,IBM-compatible,IBM相容,,,
39,IBP,網際網路商務提供者,因特網商務提供者 ,,
40,IC card,積體電路卡；IC卡,智能卡 ,,
41,ICMP,網際網路控制訊息協定,因特網控制消息協議 ,,
42,iCOMP,CPU速度度量單位,,,
43,icon,圖像；圖符,圖標 ,,
44,icon activation item,圖像啟動項,,,
45,iconic model,圖像模型,,,
46,ICP,網際網路內容提供者,因特網內容提供者 ,,
47,ICRD,網際網路呼叫重定向或改發,網際呼叫重定向或改發 ,,
48,idea generation system,概念產生系統,思想生成系統 ,,
49,idea processor,概念處理機,,,
50,ideal benchmark characteristic,理想基準程序特性,,,
51,ideal blackbody,理想黑體,,,
52,ideal code,理想碼,,,
53,ideal coding,理想編碼,,,
54,ideal conceptual model,理想概念模型,,,
55,ideal coordinates,理想坐標,,,
56,ideal design of effective and logical system	,有效邏輯系統的理想設計,,,
57,ideal filter,理想濾波器,,,
58,ideal format,理想格式,,,
59,ideal high pass filter,理想高通濾波器,,,
60,ideal low pass filter,理想低通濾波器,,,
61,ideal machine,理想機,,,
62,ideal noise diode,理想雜訊二極體,,,
63,ideal orientation,理想定向,,,
64,ideal performance,理想效能,,,
65,ideal receiver,理想接收機,,,
66,ideal solution,理想解,,,
67,ideal throughput,理想通量,,,
68,ideal transducer,理想轉換器,,,
69,ideal transformation,理想變換,,,
70,ideal value,理想值,,,
71,idealized computer,理想化計算機,,,
72,idealized form,理想化表格,,,
73,idealized pattern,理想化型樣,,,
74,idealized system,理想化系統,,,
75,idealized value,理想化值,,,
76,idempotent,冪等,,,
77,idempotent element,冪等元件,,,
78,idempotent law,冪等定律,,,
79,idempotent matrix,冪等矩陣,,,
80,identical argument list,恒等引數表,,,
81,identical component,恒等成分,,,
82,identical computation,恒等計算,,,
83,identical entry,恒等項,,,
84,identical function reference,恒等函數引用,,,
85,identical operation,恒等運算,,,
86,identical permutation group,恒等置換群,,,
87,identical processor,恒等處理機,,,
88,identical register,恒等暫存器,,,
89,identical sublist,恒等子串列,,,
90,identical subtree,恒等子樹,,,
91,identical table,恒等表,,,
92,identifiability,可識別性,,,
93,identifiable language,可識別語言,,,
94,identification,識別,標識 ,,
95,identification address mark,識別位址標示,,,
96,identification beacon,識別信標,,,
97,identification burst,識別爆叢,,,
