編號,原文,臺灣用語,大陸用語,其他用語,
1,jabber,傳輸超長,逾限[傳輸] ,,
2,jabber control,傳輸超長控制,逾限控制 ,,
3,jack,孔；插座,插孔 ,,
4,jack connection	,插孔連接,,,
5,jack key lamp panel,孔鍵燈盤,,,
6,jack panel,孔面板,插孔板 ,,
7,jack plug,插頭,,,
8,jack strip,插座簧片,,,
9,jack switch,孔開關,,,
10,jacket,外套,,,
11,Jackson method,傑克森方法,,,
12,Jackson structured programming	,傑克森結構程式設計,,,
13,Jacobian matrix,賈克比矩陣；導數矩陣,,,
14,jam,干擾；擁擠,干擾 ,,
15,jam signal,擁塞信號,[人為]干擾信號 ,,
16,jam transfer,擁塞轉移,,,
17,jamming signal,擁塞信號,強制干擾信號,,
18,janitor,銷毀；管理員,,,
19,Japan medical programming system	,日本醫學程式設計系統,,,
20,Japanese word processor,日文處理機,,,
21,jargon,術語,,,
22,Java,Java程式語言；爪哇程式語言,Java語言 ,,
23,Java applet,Java小應用程式,Java小應用程序 ,,
24,Java application,Java應用程式,Java應用 ,,
25,Java bean,Java bean,Java組件 ,,
26,Java chip,Java晶片,Java芯片 ,,
27,Java compiler,Java編譯程式,Java編譯程序 ,,
28,Java DataBase Connectivity,Java資料庫連接,Java數據庫連接 ,,
29,Java development kit,Java開發套件,Java開發工具箱 ,,
30,Java flash compiler,Java快速編譯程式,Java快速編譯程序 ,,
31,Java foundation class,Java基礎類別,Java基礎類[庫] ,,
32,Java interpreter,Java解譯器,Java解釋程序 ,,
33,Java native interface,Java本地介面,Java本地接口 ,,
34,Java OS,Java作業系統,Java操作系統 ,,
35,Java script,Java腳本,Java腳本 ,,
36,Java virtual machine,Java虛擬機,Java虛擬機 ,,
37,JCB,工件控制塊,作業控制塊 ,,
38,JCL,工件控制語言,作業控制語言 ,,
39,JDBC,Java資料庫連接,Java數據庫連接 ,,
40,jet propulsion center	,噴氣推進研究中心,,,
41,JIT,即時生產,及時生產 ,,
42,JIT compiler,即時編譯程式,及時編譯程序 ,,
43,jitter,抖動,抖動 ,,
44,JK flip flop,JK正反器,,,
45,JK M/S flipflop,JK主從正反器,,,
46,job,工件,作業 ,,
47,job accounting,工件帳務,,,
48,job accounting facility	,工件帳務設施,,,
49,job accounting file,工件帳務檔案,,,
50,job accounting information,工件帳務資訊,,,
51,job accounting interface	,工件帳務介面,,,
52,job accounting report system	,工件帳務報告系統,,,
53,job accounting routine,工件帳務常式,,,
54,job accounting system	,工件帳務系統,,,
55,job accounting table	,工件帳務表,,,
56,job action command,工件行動命令,,,
57,job analysis and performance analysis system	,工件與效能分析系統,,,
58,job analysis system	,工件分析系統,,,
59,job analysis	,工件分析,,,
60,job bank,工件記憶庫,,,
61,job batch,工件批次,,,
62,job block,工件段,,,
63,job built-in macro instruction,工件內建巨集指令,,,
64,job cancellation message log,工件取消訊息日誌,,,
65,job card,工件卡,,,
66,job catalog,工件目錄,作業目錄 ,,
67,job characteristic,工件特性,,,
68,job class,工件類,,,
69,job classification,工件分類,作業分類 ,,
70,job communication block,工件通信塊,,,
71,job content,工件內容,,,
72,job control,工件控制,作業控制 ,,
73,job control block,工件控制塊,作業控制塊 ,,
74,job control card	,工件控制卡,,,
75,job control command,工件控制命令,,,
76,job control communication,工件控制通信,,,
77,job control facility,工件控制設施,,,
78,job control file	,工件控制檔,,,
79,job control information,工件控制資訊,,,
80,job control language,工件控制語言,作業控制語言 ,,
81,job control language generation,工件控制語言產生,,,
82,job control language preprocessor,工件控制語言預處理機,,,
83,job control message,工件控制訊息,,,
84,job control number	,工件控制號碼,,,
85,job control procedure,工件控制程序,,,
86,job control processor	,工件控制處理機,,,
87,job control program	,工件控制程式,,,
88,job control record,工件控制記錄,,,
89,job control rights,工件控制權,,,
90,job control sequence,工件控制順序,,,
91,job control statement	,工件控制敘述,,,
92,job control stream,工件控制流,,,
93,job control table	,工件控制表,,,
94,job control task,工件控制任務,,,
95,job control	,工件控制,,,
96,job controller,工件控制器,作業控制程序 ,,
97,job cost,工件成本,,,
98,job cost sheet,工件成本表單,,,
99,job cycle,工件周期,作業周期 ,,
100,job cylinder map	,工件柱面圖,,,
101,job data area,工件資料區域,,,
102,job data flow,工件資料流程,,,
103,job data program,工件數據程式,,,
104,job definition,工件定義,,,
105,job description,工件描述,作業說明, *作業描述 ,,
106,job development system	,工件開發系統,,,
107,job diagnostic survey,工件診斷探勘,,,
108,job dividing,工件劃分,,,
109,job drawing list,工件製圖列表,,,
110,job end control card,工件結束控制卡,,,
111,job entry,工件登錄,作業錄入 ,,
112,job entry central services	,工件登錄中央服務,,,
113,job entry control language	,工件登錄控制語言,,,
114,job entry facility	,工件登錄設施,,,
115,job entry peripheral services	,工件登錄週邊服務,,,
116,job entry program	,工件登錄程式,,,
117,job entry subsystem communication table	,工件登錄子系統通訊表,,,
118,job entry subsystem	,工件登錄子系統,,,
119,job entry system	,工件登錄系統,,,
120,job exit,工件出口,,,
121,job file,工件檔案,作業文件 ,,
122,job file control,工件檔案控制,,,
123,job file control block	,工件檔案控制塊,,,
124,job file index,工件檔案索引,,,
125,job file number	,工件檔案號碼,,,
126,job flow,工件流程,作業流 ,,
127,job flow control,工件流控制,,,
128,job handling routine,工件處置常式,,,
129,job header,工件標頭,,,
130,job identifier,工件識別符,,,
131,job information block	,工件資訊段,,,
132,job information system	,工件資訊系統,,,
133,job initiation,工件啟動,,,
134,job initiation processing level,工件啟動處理等級,,,
135,job input data,工件輸入資料,,,
136,job input device,工件輸入裝置,,,
137,job input file,工件輸入檔案,,,
138,job input prefix,工件輸入前置,,,
139,job input queue,工件輸入佇列,,,
140,job input station	,工件輸入站,,,
141,job input stream,工件輸入流,,,
142,job internal processing procedure,工件內處理程序,,,
143,job keyboard monitor,工件鍵盤監視器,,,
144,job level,工件等級,,,
145,job level field,工件等級欄,,,
146,job library,工件程式館,,,
147,job list,工件列表,,,
148,job load,工件載入,,,
149,job load characterization,工件載入特性,,,
150,job log,工件日誌,,,
151,job logging,工件登錄,,,
152,job login,工件登入,,,
153,job logout,工件註銷,,,
154,job management,工件管理,作業管理 ,,
155,job memory,工件記憶體,,,
156,job memory switch matrix	,工件記憶體開關矩陣,,,
157,job message queue,工件訊息佇列,,,
158,job mix optimization	,工件混合最佳化,,,
159,job mixing,工件混合,,,
160,job model,工件模型,,,
161,job model construction,工件模型構造,,,
162,job name,工件名稱,作業名 ,,
163,job networking,工件網路連結,,,
164,job networking facility	,工件網路連結設施,,,
165,job number,工件號碼,,,
166,job offset,工件偏置,,,
167,job on carry,進行工件,,,
168,job order costing,工件命令成本法,,,
169,job order number	,工件命令號碼,,,
170,job order	,工件命令,,,
171,job organization language	,工件組織語言,,,
172,job oriented language,工件導向語言,,,
