編號,原文,臺灣用語,大陸用語,其他用語,
1,k,千,,,
2,k out of n system,n中取k系統,,,
3,KA,知識獲取,知識獲取 ,,
4,Kai Ti,楷體,楷體 ,,
5,Kalman filtering,卡爾曼濾波,卡爾曼濾波 ,,
6,Kanji information processing,中文字資訊處理；漢字資訊處理,,,
7,karaoke,伴唱機,,,
8,Karhunen-Loeve transformation,K－L變換,,,
9,Karhunent-Loeve transformation,卡洛變換,卡洛變換 ,,
10,Karnaugh map,卡諾圖；坎諾圖,,,
11,Karp reducibility,卡普可約性,卡普可歸約性 ,,
12,KB,知識庫,知識庫 ,,
13,KBMS,知識庫管理系統,知識庫管理系統 ,,
14,K-bounded net,K有界網,K有界網 ,,
15,Kbyte,千拜,,,
16,k-connectivity,k連通度,k連通度 ,,
17,KDC,密鑰分配中心,密鑰分配中心 ,,
18,KDD,資料庫知識發現,數據庫知識發現 ,,
19,K-dense,K稠密性,K稠密性 ,,
20,KE,知識工程,知識工程 ,,
21,keep,保留,,,
22,keep it simple straight,簡單明瞭,,,
23,keep list,保存表列,,,
24,Kendall's notation,肯得記法,,,
25,kenotron,真空整流管,,,
26,Kermit,Kermit程式,,,
27,kernal process,核心處理,,,
28,kerned font,凸化字型,,,
29,kernel,核心,內核 ,,
30,kernel code,核心碼,內核碼 ,,
31,kernel data structure,核心資料結構,內核數據結構 ,,
32,kernel executive,核心執行程式,,,
33,kernel function,核心函數,,,
34,kernel grammar,核心文法,,,
35,kernel instruction set,核心指令集,,,
36,kernel interprocess communication,核心過程間通信,,,
37,kernel language,核心語言,內核語言 ,,
38,kernel mode,核心模式,,,
39,kernel module,核心模組,內核模塊 ,,
40,kernel normal form,核心正規形式,,,
41,kernel of multimicroprocessor operating system,核心多微處理機作業系統,,,
42,kernel primitive,核心基元,內核原語 ,,
43,kernel process,核心過程,內核進程 ,,
44,kernel processor,核心處理機,,,
45,kernel program,核心程式,內核程序 ,,
46,kernel service,核心服務,內核服務 ,,
47,kernel software,核心軟體,,,
48,kernel stack,核心堆疊,內核棧 ,,
49,kernel test program,核心測試程式,,,
50,kernelized security,核心安全,核基安全 ,,
51,kerning,字母緊排；疊置,緊排,,
52,Kerr magneto-optical effect,克爾磁光效應,,,
53,key,鍵；鑰；關鍵,[鍵]碼 ,,
54,key access,鍵存取,,,
55,key address,鍵位址,,,
56,key area,鍵區,,,
57,key argument,鍵引數,,,
58,key assignment,指定鍵值,,,
59,key authentication code,鍵鑑別碼,,,
60,key buffer,鍵緩衝器,,,
61,key cap,鍵帽,鍵帽 ,,
62,key card punch,鍵打卡機,,,
63,key certificate,密鑰認證,密鑰証書 ,,
64,key change,鍵變更,,,
65,key characteristics,鍵特性,,,
66,key chart,關鍵圖,,,
67,key click,鍵音,,,
68,key click filter,鍵音濾波器,,,
69,key code,鍵碼,鍵碼 ,,
70,key code table,鍵碼表,,,
71,key coder,鍵編碼器,,,
72,key coding element location,鍵編碼元件位置,,,
73,key coding element sort program,鍵編碼元件排序程式,,,
74,key column,關鍵行,,,
75,key component,關鍵組件,,,
76,key compression,鍵壓縮,,,
77,key controlled storage protection,鍵控儲存保護,,,
78,key conversion,關鍵字轉換,,,
79,key data,關鍵資料；鍵控資料；鍵資料,,,
80,key data element,關鍵資料元件,,,
81,key data item,關鍵字資料項,,,
82,key data station,鍵控資料站,,,
83,key data terminal,鍵控資料終端,,,
84,key data type,鍵資料類型,,,
85,key definition,關鍵字定義,,,
86,key descriptor,鍵描述符,,,
87,key descriptor block,關鍵字描述符塊,,,
88,key display call indicator,鍵顯示呼叫指示器,,,
89,key display system,鍵控顯示系統,,,
90,key distribution center,密鑰分配中心,密鑰分配中心 ,,
91,key driven,鍵驅動,,,
92,key edit terminal language,鍵編輯終端語言,,,
93,key element,鍵元素；鍵元件,,,
94,key element set,鍵元素集,,,
95,key encode,鍵編碼,,,
96,key encoder,鍵編碼器,,,
97,key encrypting key,關鍵字加密鍵,,,
98,key entry,鍵登錄,,,
99,key entry area,鍵登錄區,,,
100,key entry system,鍵登錄系統,,,
101,key equals address addressing,鍵址相等定址,,,
102,key escrow,密鑰託管,密鑰托管 ,,
103,key establishment,密鑰建立,密鑰建立 ,,
104,key exchange,密鑰交換,密鑰交換 ,,
105,key factor,關鍵因子,,,
106,key feedback area,鍵回饋區,,,
107,key field level specification,鍵欄等級規格,,,
108,key field,關鍵欄；主要欄位,,,
109,key file,鍵檔案,,,
110,key file entry method,鍵檔案登錄方法,,,
111,key file organization,鍵檔案組織,,,
112,key file structure,鍵檔案結構,,,
113,key frame,關鍵框,關鍵幀 ,,
114,key generation,鍵產生,,,
115,key generator,鍵信號產生器,,,
116,key holder,鍵座,,,
117,key identifier,關鍵識別符,,,
118,key in,鍵入,,,
119,key in data,鍵入資料,,,
120,key in flag,鍵入旗標,,,
121,key index,鍵索引,,,
122,key information,鍵資訊,,,
123,key ingredient,關鍵字成分,,,
124,key input,鍵輸入,,,
125,key input checking visual display unit,鍵輸入檢查視覺顯示單元,,,
126,key input flag,鍵輸入旗標,,,
127,key instruction,關鍵指令,,,
128,key item,主要項目,,,
129,key joint,鍵結合,,,
130,key length,鍵長度,,,
131,key letter,鍵盤字母,,,
132,key letter in context,上下文內關鍵字母,,,
133,key level,鍵階層,,,
134,key loader,鍵載入器,,,
135,key loader module,鍵載入器模組,,,
136,key lock,鍵鎖,,,
137,key lock feature,鍵鎖特徵,,,
138,key management,鍵管理,密鑰管理 ,,
139,key management facility,鍵管理設施,,,
140,key map list,鍵圖列表,,,
141,key mapping,鍵對映,鍵位 ,,
142,key mapping table,鍵對映表,鍵位表 ,,
143,key marker,鍵標誌,,,
144,key match,鍵匹配,,,
145,key matching,鍵匹配,,,
146,key memory,鍵記憶體,,,
147,key name,鍵名,,,
148,key notarization,密鑰公證,密鑰公証 ,,
149,key of reference,引用關鍵字,,,
150,key operation,鍵操作,,,
151,key organization,鍵組織,,,
152,key pad,小鍵盤；鍵墊,,,
153,key pad application mode,小鍵盤應用模,,,
154,key pad mode,小鍵盤模式,,,
155,key pad number,小鍵盤號碼,,,
156,key pad numeric mode,小鍵盤數字模,,,
157,key pad value,小鍵盤值,,,
158,key pair,密鑰對,密鑰對 ,,
159,key panel,鍵盤,,,
160,key performance indicator,關鍵效能指示符,,,
161,key phrase,鍵片語,密鑰短語 ,,
162,key process,鍵處理,,,
163,key program type function computer,鍵程式型式函數計算機,,,
164,key pulse,鍵脈衝,,,
165,key pulsing,鍵脈波,,,
166,key pulsing signal,鍵脈波信號,,,
167,key queue,鍵佇列,,,
168,key range,鍵範圍,,,
169,key recovery,密鑰恢復,密鑰恢復 ,,
170,key register,鍵暫存器,,,
171,key retrieval,鍵檢索,,,
172,key ring,密鑰環,密鑰環 ,,
173,key row,鍵列,,,
174,key scan,鍵掃瞄,,,
175,key scheme,關鍵碼方案,,,
176,key search,鍵搜尋,,,
177,key search attack,密鑰搜尋攻擊,密鑰搜索攻擊 ,,
178,key sender,鍵發送器,,,
179,key sending,鍵發送,,,
180,key sensity,鍵靈敏度,,,
181,key sequence,鍵順序,,,
182,key sequence parameter,鍵序參數,,,
183,key sequenced,鍵序,,,
184,key sequenced data set,鍵序資料集,,,
185,key sequenced file,鍵序檔案,,,
186,key server,密鑰伺服器,密鑰服務器 ,,
187,key shelf,鍵架,,,
188,key shift,移位鍵,,,
189,key size,密鑰長度,密鑰長度 ,,
190,key skip,跳位鍵,,,
191,key sort,鍵分類,,,
192,key sorting,鍵分類,,,
193,key source,關鍵源,,,
194,key space,鍵間隔,,,
195,key state,關鍵狀態,,,
196,key station,主站,,,
197,key station control language,主站控制語言,,,
198,key station on line business oriented language,主站連線商業導向語言,,,
199,key status indicator,鍵狀態指示器,,,
200,key stream,密鑰流,密鑰流 ,,
201,key stroke,鍵擊,,,
202,key stroke verification,鍵次驗證,,,
203,key switch,鍵開關,,,
204,key table,鍵表,,,
205,key tape,鍵帶,,,
206,key term,關鍵術語,,,
207,key to address,鍵至位址,,,
208,key to address conversion algorithm,鍵至位址轉換演算法,,,
209,key to address transformation,鍵至位址變換,,,
210,key to cassette,鍵至磁匣,,,
211,key to disc operating system,鍵至磁碟作業系統,,,
212,key to disc software,鍵至磁碟軟體,,,
213,key to disc subsystem,鍵至磁碟子系統,,,
214,key to disk,鍵至磁碟,,,
215,key to disk data input system,鍵至磁碟資料輸入系統,,,
216,key to disk shared processor system,鍵至磁碟共用式處理機系統；鍵盤至磁碟共用式程處理系統,,,
217,key to disk system,鍵至磁碟系統,,,
218,key to diskette,鍵至磁片,,,
219,key to diskette system,鍵至磁片系統,,,
220,key to floppy,鍵至軟碟,,,
221,key to tape,鍵至磁帶,,,
222,key to tape input,鍵至磁帶輸入,,,
223,key top symbol,鍵頂符號,,,
224,key transformation,鍵變換,,,
225,key transformation table,鍵變換表,,,
226,key trapping,鍵的設陷,,,
227,key tree,鍵樹,,,
228,key tuple,關鍵碼元組,,,
229,key type,鍵型式,,,
230,key value,關鍵碼值；鍵值,,,
231,key variable,鍵變數,,,
232,key verify,鍵驗證,,,
233,key word table,關鍵字表,,,
234,key work tree,鍵工作樹,,,
235,keyboard,鍵盤,鍵盤 ,,
236,keyboard adapter unit,鍵盤配接器裝置,,,
237,keyboard and display control,鍵盤和顯示控制,,,
238,keyboard and display,鍵盤和顯示,,,
239,keyboard buffer,鍵盤緩衝區,,,
240,keyboard button,鍵盤按鈕,,,
241,keyboard card punch,鍵盤打卡鐖,,,
242,keyboard card verifier,鍵盤卡驗證器,,,
243,keyboard checking circuit,鍵盤檢查電路,,,
244,keyboard clear push switch,鍵盤清除按鈕開關,,,
245,keyboard command,鍵盤命令,,,
246,keyboard command prompt,鍵盤命令提示,,,
247,keyboard common contact,鍵盤共用接頭,,,
248,keyboard components layout,鍵盤組件布置,,,
249,keyboard computer,鍵盤計算機,,,
250,keyboard computer printer,計算機的鍵盤列表機,,,
251,keyboard console,鍵盤控制台,,,
252,keyboard contact,鍵盤接觸,,,
253,keyboard contact bounce,鍵盤接觸彈跳,,,
254,keyboard control key,鍵盤控制鍵,,,
255,keyboard control process,鍵盤控制處理,,,
256,keyboard control unit,鍵盤控制單元,,,
257,keyboard data entry,鍵盤資料登錄,,,
258,keyboard data recorder,鍵盤資料記錄器,,,
259,keyboard definition,鍵盤定義,,,
260,keyboard display console,鍵盤顯示控制台,,,
261,keyboard display station,鍵盤顯示站,,,
262,keyboard display,鍵盤顯示,,,
263,keyboard editing display station,鍵盤編輯顯示站,,,
264,keyboard encoder,鍵盤編碼器,,,
265,keyboard entry and inquiry,鍵盤登錄和詢問,,,
266,keyboard entry method,鍵盤登錄方法,,,
267,keyboard entry,鍵盤登錄,,,
268,keyboard equivalent,等效鍵盤,,,
269,keyboard features,鍵盤特徵,,,
270,keyboard function key,鍵盤功能鍵,,,
271,keyboard input command,鍵盤輸入命令,,,
272,keyboard input matrix,鍵盤輸入矩陣,,,
273,keyboard input printout,鍵盤輸入印出,,,
274,keyboard input simulation,鍵盤輸入模擬,,,
275,keyboard inquiry,鍵盤詢問,,,
276,keyboard interaction,鍵盤互談,,,
277,keyboard interface,鍵盤介面,,,
278,keyboard interface control unit,鍵盤介面控制單元,,,
279,keyboard interface unit,鍵盤介面單元,,,
