編號,原文,臺灣用語,大陸用語,其他用語,
1,lab project,實驗專案,,,
2,label,標號；標記；標籤,標號 ,,
3,label address table,標號位址表,,,
4,label area,標號區,,,
5,label assignment statement,標號指定敘述,,,
6,label attribute,標號屬性,,,
7,label block,標號段,,,
8,label buffer address,標號緩衝位址,,,
9,label check,標號核對,,,
10,label coding,標號編碼,,,
11,label combination,標號組合,,,
12,label constant,標號常數,,,
13,label data,標號資料,,,
14,label declaration,標號宣告,,,
15,label declaration part,標號宣告部分,,,
16,label declaration section,標號宣告區段,,,
17,label definition,標號定義,,,
18,label delimiter,標號定界符,,,
19,label descriptor,標號描述符,,,
20,label expression,標號表式,,,
21,label field,標號欄,,,
22,label format record,標號格式記錄,,,
23,label group,標號組,,,
24,label handling,標號處置,,,
25,label handling routine,標號處置常式,,,
26,label identifier,標號識別符,,,
27,label information area,標號資訊區,,,
28,label key,標號鍵,,,
29,label map,標號映像,,,
30,label notation,標號記法,,,
31,label number,標號數,,,
32,label parameter,標號參數,,,
33,label prefix,標號前置,,,
34,label printer,標號列印機,,,
35,label procedure,標號程序,,,
36,label processing,標號處理,,,
37,label processing routine,標號處理常式,,,
38,label processor,標號處理機,,,
39,label record,標號記錄,,,
40,label record clause,標號記錄子句,,,
41,label record standard,標號記錄標準,,,
42,label routine,標號常式,,,
43,label save area,標號保存區,,,
44,label set,標號集,,,
45,label subscript,標號下標,,,
46,label symbol,標號符號,,,
47,label table,標號表,,,
48,label terminator,標號終止符,,,
49,label trace,標號追蹤,,,
50,label translation,標號變換,,,
51,label variable,標號變數,,,
52,labeled,有標,,,
53,labeled algorithm,有標演算法,,,
54,labeled block,有標塊,,,
55,labeled channel,有標通道,帶標號信道 ,,
56,labeled common area,有標公用區,,,
57,labeled common block,有標公用塊,,,
58,labeled common name,有標公用區名,,,
59,labeled data stream,有標資料流,,,
60,labeled graph,有標圖,,,
61,labeled image,有標影像,,,
62,labeled input file,有標輸入檔,,,
63,labeled instruction,有標指令,,,
64,labeled multiplexing,有標多工,帶標號復用 ,,
65,labeled ordered tree,帶標有序樹,,,
66,labeled Petri net,有標 Petri net,標號佩特里網 ,,
67,labeled plane displays,有標平面顯示器,,,
68,labeled reachable tree,有標可達樹,標號可達樹 ,,
69,labeled security,有標安全,標號化安全 ,,
70,labeled series-parallel network,有標串並聯網路,,,
71,labeled statement,有標敘述,,,
72,labeled storage,有標儲存器,,,
73,labeled transitive digraph,有標遞移有向圖,,,
74,labeled tree,有標樹,,,
75,labeling,標號,,,
76,labeling method,標號法,,,
77,labeling procedure,標號程序,,,
78,labor completed,巳完成人工,,,
79,labor content lower levels,低階人工內容,,,
80,labor content this level,本階人工內容,,,
81,labor cost,人工成本,,,
82,labor hour,人工小時,,,
83,labor reported,已報人工,,,
84,labor reporting,人工報告,,,
85,labor tickets,人工單,,,
86,labor time,人工時間,,,
87,labor total,人工總計,,,
88,labor/overhead table,人工／間接製造費用表,,,
89,laboratory,實驗室,,,
90,laboratory automation,實驗室自動化,,,
91,laboratory automation system,實驗室自動化系統,,,
92,laboratory computer,實驗室計算機,,,
93,laboratory computer hierarchy,實驗室計算機階層,,,
94,laboratory computer on-line inquiry,實驗室計算機連線詢問,,,
95,laboratory control computer,實驗室控制計算機,,,
96,laboratory data management,實驗室資料管理,,,
97,laboratory data processor,實驗室資料處理器,,,
98,laboratory data products group,實驗室資料產品組,,,
99,laboratory data stream,實驗室資料流,,,
100,laboratory database,實驗室資料庫,,,
101,laboratory effects,實驗室效應,,,
102,laboratory environment,實驗室環境,,,
103,laboratory information processing system,實驗室資訊處理系統,,,
104,laboratory interconnecting programming system,實驗室互連程式設計系統,,,
105,laboratory minicomputer,實驗室迷你電腦,,,
106,laboratory operating system,實驗室操作系統,,,
107,laboratory peripheral system,實驗室週邊系統,,,
108,laboratory reliability test,實驗室可靠度測試,,,
109,laboratory report,實驗室報告,,,
110,laboratory signal processing instrument,實驗室信號處理儀器,,,
111,laboratory signal processor,實驗室信號處理機,,,
112,laboratory system,實驗室系統,,,
113,lace,邊帶打孔,,,
114,lace card,邊帶打孔卡,,,
115,laced card,多餘孔卡片,,,
116,lack-of-knowledge inference,知識缺乏推理,,,
117,ladder diagram,梯形圖,梯形圖 ,,
118,ladder logic,梯形邏輯,,,
119,ladder network,梯形網路,,,
120,ladder printer,梯形列印機,,,
121,ladder static logic,梯形靜態邏輯,,,
122,Laddic,拉蒂克多孔磁心,,,
123,lag,滯後,滯后 ,,
124,lag network,滯後網路,,,
125,lag or lead,滯後或引線,,,
126,lag product,滯後積,,,
127,lag time,滯後時間,,,
128,lag unit,滯後單元,,,
129,lag window,滯後視窗,,,
130,lagged product theorem,滯後乘積定理,,,
131,lagging,滯後,,,
132,lagging current,滯後電流,,,
133,Lagrange intergration formula,拉格朗日積分公式,,,
134,Lagrange interpolation,拉格朗日內插,,,
135,Lagrange inversion formula,拉格朗日反算公式,,,
136,Lagrange multiplier,拉格朗日乘數,,,
137,Lagrangian coordinates,拉格朗日坐標,,,
138,lambda binding,λ連結,,,
139,lambda calculus,λ演算,,,
140,lambda calculus notation,λ演算記法,,,
141,lambda definition,λ定義,,,
142,lambda expression,λ表式,,,
143,lambda notation,λ記法,,,
144,lambda parameter,λ參數,,,
145,lambda variable,λ變數,,,
146,lambda-stochastic finite state language,λ隨機有限狀態語言,,,
147,lambda-stochastic push-down language,λ隨機下推語言,,,
148,Lambert's model,Lambert's 模型,朗伯模型 ,,
149,laminar bus A,疊層匯流排A,,,
150,laminar bus B,疊層匯流排B,,,
151,laminar bus,疊層匯流排,,,
152,laminar flow,疊層流,,,
153,laminate,層板,層壓板 ,,
154,laminate board,層板,,,
155,laminate bus plate,層板匯流條板,,,
156,laminated bus plate,層板匯流條板,,,
157,laminated magnetic head,層版磁頭,疊片式磁頭 ,,
158,lamination,分層；疊片,,,
159,lamp driver,指示燈驅動器,,,
160,lamp monitor,燈監視器,,,
161,LAN,區域網路,局域網 ,,
162,LAN broadcast,區域網路廣播,局域網廣播 ,,
163,LAN broadcast address,區域網路廣播位址,局域網廣播地址 ,,
164,LAN gateway,區域網路閘道,局域網網關 ,,
165,LAN global address,區域網路全球位址,局域網全球地址,,
166,LAN group address,區域網路群組位址,局域網[成]組地址 ,,
167,LAN individual address,區域網路個別位址,局域網單[個]地址 ,,
168,LAN manager,區域網路管理器,局域網管理程序 ,,
169,LAN multicast,區域網路多播,局域網多播 ,,
170,LAN multicast address,區域網路多播位址,局域網多播地址 ,,
