編號,原文,臺灣用語,大陸用語,其他用語,
1,M Series,M序列,,,
2,M series network architecture	,M系列網路架構,,,
3,MAC,媒體存取控制,媒體訪問控制 ,,
4,MAC,訊息鑑別碼；報文鑒定碼,報文鑒別碼 ,,
5,MAC protocol,媒體存取控制協定,媒體訪問控制協議, *MAC協議 ,,
6,MacDonald code,麥唐納碼,,,
7,Mach band,馬赫帶,馬赫帶 ,,
8,Mach band effect,馬赫帶效應,馬赫帶效應 ,,
9,machinable,機器可用,,,
10,machinable medium,機器可用的儲存媒體,,,
11,machinable service,機器可用服務,,,
12,machine,機；機器,,,
13,machine address,機器位址,,,
14,machine address instruction,機器位址指令,,,
15,machine address pointer,機器位址指標,,,
16,machine addressing,機器定址,,,
17,machine aided cognition	,機器輔助識別；機器輔助認知,,,
18,machine aided composing and editing	,機器輔助排版與編輯,,,
19,machine aided design,機器輔助設計,,,
20,machine aided drafting system	,機器輔助製圖系統,,,
21,machine aided editing,機器輔助編輯,,,
22,machine aided graphics for illustration and composition	,圖例和構圖用計算機輔助製圖,,,
23,machine aided heuristic,機器輔助試探,,,
24,machine aided human translation,機器輔助人工翻譯,,,
25,machine aided index	,機器輔助索引,,,
26,machine aided information and dissemination system	,機器輔助資訊與配送系統,,,
27,machine aided manufacturing information	,機器輔助製造資訊,,,
28,machine aided retrieval,機器輔助檢索,,,
29,machine aided technical processing system	,機器輔助技術處理系統,,,
30,machine aided translation editing	,機器輔助翻譯編輯,,,
31,machine aided translation	,機器輔助翻譯,,,
32,machine alarm,機器警報,,,
33,machine analysis display	,機器分析顯示,,,
34,machine analysis table	,機器分析表,,,
35,machine analyzer package	,機器分析程式套裝軟體,,,
36,machine applications to technical information center operations	,機器在技術資訊中心作業的應用資訊,,,
37,machine architecture,機器架構,,,
38,machine arithmetic,機器運算,,,
39,machine assisted cognition,機器輔助認知,,,
40,machine assisted detection and classification	,機器輔助檢測與分類,,,
41,machine automatic algorithm decoder	,機器自動算法解碼器,,,
42,machine available time,機器可用時間,,,
43,machine binary language,機器二進制語言,,,
44,machine charge,機器負荷,,,
45,machine check,機器檢查,,,
46,machine check analysis and recording	,機器檢查分析和記錄,,,
47,machine check and program check,機器檢查與程式檢查,,,
48,machine check code,機器檢查碼,,,
49,machine check exception,機器檢查異常,,,
50,machine check extended logout	,機器檢查延伸註銷,,,
51,machine check frame	,機器檢查框,,,
52,machine check function	,機器檢查功能,,,
53,machine check handler	,機器檢查處置器,,,
54,machine check indicator,機器檢查指示器,,,
55,machine check instruction,機器檢查指令,,,
56,machine check interrupt,機器檢查中斷,機器檢查中斷 ,,
57,machine check interruption code	,機器檢查中斷碼,,,
58,machine check interruption	,機器檢查中斷,,,
59,machine check masking,機器檢查遮罩,,,
60,machine check mode,機器檢查模式,,,
61,machine check record	,機器檢查記錄,,,
62,machine check recording and recovery	,機器檢查記錄與恢復,,,
63,machine check summary counter,機器檢查摘要計數器,,,
64,machine code,機器碼,機器碼 ,,
65,machine code instruction,機器碼指令,,,
66,machine code language,機器碼語言,,,
67,machine code level,機器碼階,,,
68,machine code programming,機器碼程式設計,,,
69,machine coding,機器編碼,,,
70,machine cognition,機器認知,,,
71,machine configuration,機器組態,,,
72,machine configuration record,機器組態記錄,,,
73,machine cycle,機器週期,機器周期 ,,
74,machine dependent,機器相關,,,
75,machine dependent feature,機器相關特徵,,,
76,machine dependent language,機器相關語言,,,
77,machine dictionary,機器字典,機器詞典 ,,
78,machine discovery,機器發現,機器發現 ,,
79,machine error,機器誤差,,,
80,machine execution priority,機器執行優先權,,,
81,machine for automated graphics interface to a computation	,自動繪圖與計算機介面用機器,,,
82,machine function,機器功能；機械功能,,,
83,machine function test	,機器功能測試,,,
84,machine group,機組,,,
85,machine independent,機器無關,,,
86,machine independent command language,機器無關命令語言,,,
87,machine independent language,機器無關語言,,,
88,machine independent microprogramming language,機器無關的微程式設計語言,,,
89,machine independent operating system,機器無關作業系統,獨立于機器的操作系統 ,,
90,machine independent solution,機器無關解答,,,
91,machine induction,機器感應,,,
92,machine instruction,機器指令,機器指令 ,,
93,machine instruction code,機器指令碼,,,
94,machine instruction processor	,機器指令處理器,,,
95,machine instruction statement,機器指令敘述,,,
96,machine intelligence,機器智慧,機器智能 ,,
97,machine intelligent quotient	,機器智能商,,,
98,machine interface	,機器介面,,,
99,machine interrupt,機器岔斷,,,
100,machine language,機器語言,機器語言 ,,
101,machine language code,機器語言碼,,,
102,machine language program	,機器語言程式,,,
103,machine language subroutine,機器語言次常式,,,
