編號,原文,臺灣用語,大陸用語,其他用語,
1,OA,辦公自動化,辦公自動化 ,,
2,OAF,開放架構框架,開放體系結構框架 ,,
3,Oak Ridge automatic computer and logical engine	,橡樹嶺自動計算機和邏輯機,,,
4,Oak Ridge data evaluation and analysis language	,橡樹嶺資料評估與分析語言,,,
5,Oak Ridge system analysis code	,橡樹嶺系統分析碼,,,
6,object,物件,對象 ,,
7,object,物件,客體 ,,
8,object addressing,目標定址,,,
9,object authority,物件權限,,,
10,object base,物件基底,,,
11,object based language,目標為基的語言,,,
12,object based virtual operating system,目標為基的虛擬作業系統,,,
13,object centered programming,物件為中心的編程；物件為中心的程式設計,,,
14,object centered representation,物件為中心的表示法,,,
15,object code,目標碼；目的碼,目標[代]碼 ,,
16,object code compatibility,目標碼相容性,,,
17,object code program,目標碼程式,,,
18,object computer,目標計算機,,,
19,object computer entry,目標計算機項,,,
20,object computer paragraph,目標計算機段,,,
21,object configuration,目標配置,,,
22,object connection,物件連接,對象連接 ,,
23,object construction,目標構造,,,
24,object data,目標資料,,,
25,object deck,目標卡疊；目標（卡片）疊；目標疊卡,,,
26,object definition,目標定義,,,
27,object definition table	,目標定義表,,,
28,object description,目標描述,,,
29,object design,目標設計,,,
30,object dictionary,物件字典,對象字典 ,,
31,object diskette,目標磁片,,,
32,object existence rights,目標存在權,,,
33,object file,目標檔；目的檔案；目的檔,,,
34,object handling program,目標處置程式,,,
35,object id,目標識別,,,
36,object identifier,物件識別符,對象標識符 ,,
37,object identifier type,物件識別符型式,,,
38,object language,目標語言；目的語言,,,
39,object language program,目標語言程式,,,
40,object level access protection,目標級存取保護,,,
41,object level control,物件層次控制,,,
42,object level instruction,目標級指令,,,
43,object level program,目標級程式,,,
44,object level structure,目標級結構,,,
45,object library,目的程式庫,,,
46,object library editor,目的程式館編輯器,,,
47,object link and embedding,物件鏈接與嵌入,對象鏈接與嵌入 ,,
48,object linking and embedding,物件鏈接與嵌入,,,
49,object listing,目標（程序）列表,,,
50,object machine,目標機器,,,
51,object management architecture,物件管理架構,對象管理結構 ,,
52,object management group,物件管理組,對象管理組 ,,
53,object management rights,目標管理權,,,
54,object map,目標圖；目標映象,,,
55,object model,物件模型,對象模型 ,,
56,object modeling technique,物件模型化技術,對象建模技朮 ,,
57,object module,目標模組；目的模組,,,
58,object module assembly program	,目標模組組合程式,,,
59,object module data set,目標模組資料集,,,
60,object module library,目的模組館,,,
61,object module patch program,目標模組修補程式,,,
62,object name,物件名,,,
63,object of entry,登錄的目標,,,
64,object orientation,物件導向,,,
65,object oriented command language,物件導向命令語言,,,
66,object oriented database management system	,物件導向資料庫管理系統,,,
67,object oriented database	,物件導向資料庫,,,
68,object oriented design,物件導向設計,,,
69,object oriented design methodology,物件導向設計方法學,,,
70,object oriented graphics,物件導向圖學,,,
71,object oriented language,物件導向語言,,,
72,object oriented precompiler,物件導向預編譯器,,,
73,object oriented program,物件導向程式,,,
74,object oriented programming system	,物件導向程式設計系統,,,
75,object oriented programming	,物件導向的程式設計,,,
76,object oriented	,物件導向,,,
77,object owner,物件持有者,,,
78,object pack,物件包,,,
79,object phrase,受詞片語,,,
80,object plane,目標平面,,,
81,object point,目標點,,,
82,object program,目標程式；目的程式,目標程序 ,,
83,object program code,目的程式碼,,,
84,object program instruction,目標程式指令,,,
85,object program language,目標程式語言,,,
86,object program library,目標程式庫,,,
87,object program listing,目標程式列表,,,
88,object program loader	,目標程式載入器,,,
89,object program module,目標程式模組,,,
90,object program optimization,目標程式最佳化,,,
91,object program preparation,目標程式準備,,,
92,object program utility routine	,目標程式公用常式,,,
93,object recognition,目標識別,,,
94,object reference,物件引用,對象引用 ,,
95,object relation,物件關係,,,
96,object request broker,物件請求仲介,對象請求代理 ,,
97,object routine,目標常式,,,
98,object run,目標程式運行,,,
99,object segment,目標段,,,
100,object space,物件空間,物體空間 ,,
101,object subschema,目標子綱目,,,
102,object system,目標系統,,,
103,object table,物件表,,,
104,object tape,目標磁帶,,,
105,object time,目標程序執行時間,,,
