編號,原文,臺灣用語,大陸用語,其他用語,
1,P/T system,位置／遷移系統,位置-變遷系統 ,,
2,P=NP problem,P等於NP問題,,,
3,PABX,私用自動分支交換,專用自動小交換機 ,,
4,pace,步調；速度,,,
5,pacesetter,定調器,,,
6,pacing,調步；定步,,,
7,pacing count,定步計數；調步計數,,,
8,pacing device,定步裝置,,,
9,pacing group,定步組；調步組,,,
10,pacing group size,定步組尺寸,,,
11,pacing indicator,定步指示器,,,
12,pacing message,定步訊息,,,
13,pacing parameter,定步參數；調步參數,,,
14,pacing request,定步請求；調步請求,,,
15,pacing response,定步回應,,,
16,pacing value,定步值；調步值,,,
17,pack,包裝；磁碟組；壓縮；縮緊；縮整；聚集；包裹；組裝；封裝,緊縮,,
18,pack cluster,磁碟叢集,,,
19,pack no,磁碟號,,,
20,pack unit,部件；組件,,,
21,package,包；套裝軟體；組件；程式包,包 ,,
22,package assembly,組件組合,,,
23,package base,外殼基座,,,
24,package board,組件板,,,
25,package body,組件本體,,,
26,package card,組件卡,,,
27,package count,組件數,,,
28,package declaration,程式包說明,,,
29,package filling factor,封裝填充因數,,,
30,package identifier,程式包識別符,,,
31,package lead,組件引線,,,
32,package level,組件等級,,,
33,package library,套裝軟體程式館,,,
34,package media,套裝軟體媒體,,,
35,package of software,軟體包,,,
36,package of subroutine,次常式包,,,
37,package pin limitation,組件插腳限制,,,
38,package program,套裝程式,,,
39,package reliability,封裝可靠性,封裝可靠性 ,,
40,package shell,組件外殼,,,
41,package specification,組件規格,,,
42,package standard,程式包標準,,,
43,package technique,套裝軟體技術,,,
44,package terminal,封裝引出線,,,
45,package transfer unit,包傳送單元,,,
46,packaged electronic circuit,封裝式電子電路,,,
47,packaged program,封裝式程式,,,
48,packaged software,封裝式軟體,,,
49,packaged transistor,封裝式電晶體,,,
50,packaging,封裝；組裝,封裝 ,,
51,packaging delay,封裝延遲,,,
52,packaging density,封裝密度,組裝密度 ,,
53,packaging design,封裝設計,,,
54,packaging level,封裝等級,,,
55,packaging technique,封裝技術,組裝技朮 ,,
56,packed,包；緊縮,,,
57,packed array,緊縮陣列,,,
58,packed attribute,緊縮屬性,,,
59,packed BCD,緊縮BCD,,,
60,packed byte,緊縮位元組,,,
61,packed code,緊縮碼,,,
62,packed data,緊縮資料,,,
63,packed decimal,緊縮十進位,,,
64,packed decimal format,緊縮十進位格式,,,
65,packed decimal key,緊縮十進制鍵,,,
66,packed decimal notation,緊縮十進制記法,,,
67,packed decimal number format,緊縮十進數格式,,,
68,packed decimal string,緊縮十進制字串,,,
69,packed field,緊縮字段,,,
70,packed form,緊縮形式,,,
71,packed format,緊縮格式,,,
72,packed format message,緊縮格式訊息,,,
73,packed key,緊縮鑰,,,
74,packed record,緊縮記錄,,,
75,packed structure,緊縮結構,,,
76,packet,分封；訊息包；封包；小包；包；數據包；程序包,包 ,,
77,packet address recognition,分封位址識別；分組報文識別,,,
78,packet addressing,封包定址,,,
79,packet assemble and disassemble,分封組合與分解,,,
80,packet assembler/disassembler,封包組合拆卸器；配封機,包裝拆器, *分組裝拆器 ,,
81,packet assembly,封包組合,,,
82,packet assembly/disassembly,封包組合／拆卸；配封機,,,
83,packet broadcast,分封廣播,,,
84,packet communication,分封通信,,,
85,packet communication function,分封通信功能,,,
86,packet control,分封控制,,,
87,packet control layer,分封控制層,,,
88,packet controller,分封控制器,,,
89,packet disassembly,封包分解,,,
90,packet encryption,封包加密,包加密 ,,
91,packet error detection,封包錯誤檢測,,,
92,packet filter,封包濾波器,,,
93,packet filtering,封包濾波（法）,包過濾 ,,
94,packet flow,封包流,,,
95,packet format,封包格式,,,
96,packet gateway,分封閘道,,,
97,packet handle function,分封處理功能,,,
98,packet handler,封包處置器,,,
99,packet handling module,封包處置模組,,,
100,packet head,封包頭,,,
101,packet interface,分封介面,,,
102,packet interference,封包干擾,,,
103,packet interleaving,封包交插,,,
104,packet layer,分封層,分組層 ,,
105,packet layer protocol,分封層協定,,,
106,packet layout,封包布置,,,
107,packet lead address,封包前置位址,,,
108,packet length,封包長度,,,
109,packet level error control,分封層錯誤控制,,,
110,packet level protocol,分封層協定,,,
111,packet lifetime control,封包生命週期控制,,,
112,packet link,分封鏈接,,,
113,packet message delay,封包訊息延遲,,,
114,packet mode,分封模式,,,
115,packet mode operation,分封模式操作,,,
116,packet mode terminal,分封模式終端機；分封型終端機,包式終端, *分組式終端 ,,
117,packet multiplexer,分封多工器,,,
118,packet multiplexing technique,分封多工技術,,,
119,packet network,分封網路,,,
120,packet network architecture,分封網路架構,,,
121,packet network interface,分封網路介面,,,
122,packet number,封包號碼,,,
123,packet priority level,分封優先級,,,
124,packet protocol,分封協定,,,
125,packet protocol extension,分封協定擴充,,,
126,packet radio network,分封無線電網路,,,
127,packet radio technique,分封無線電技術,,,
128,packet radio unit,分封無線電裝置,,,
129,packet rate,分封速率,,,
130,packet receive sequence number,封包接收順序號碼,,,
131,packet repeater,分封中繼器,,,
132,packet reservation,封包預訂,,,
133,packet retransmission interval,封包再傳輸間隔,,,
134,packet routing address,分封選路位址,,,
135,packet send sequence number,封包發送順序號碼,,,
136,packet sequence number,封包順序號碼,,,
137,packet sequencing,封包定序,,,
138,packet size,封包尺寸,分組長度 ,,
139,packet switch level interface,分封交換級介面,,,
140,packet switch network,分封交換網路,,,
141,packet switched,分封交換,,,
142,packet switched bus,封包交換匯流排,包交換總線 ,,
143,packet switched center,分封交換中心,,,
144,packet switched data network,分封交換資料網路,包交換數據網, *分組交換數據網 ,,
145,packet switched data transmission service,分封交換資料傳輸服務,,,
146,packet switched public data network,分封交換式公用資料網路,包交換公用數據網, *分組交換公用數據網 ,,
147,packet switched signaling message,分封交換信與訊息；包交換傳信訊息,,,
148,packet switcher,分封交換器,,,
149,packet switching,分封交換,包交換, *[報文]分組交換 ,,
150,packet switching center,分封交換中心,,,
151,packet switching computer communication network,分封交換計算機通信網路,,,
152,packet switching data network,分封交換資料網路,,,
153,packet switching data transmission service,分封交換資料傳輸服務,,,
154,packet switching environment,分封交換環境,,,
155,packet switching equipment,分封交換設備,,,
156,packet switching exchange,分封交換機,,,
157,packet switching interface,分封交換介面,,,
158,packet switching network,分封交換網路,包交換網, *分組交換網 ,,
159,packet switching node,分封交換節點,,,
160,packet switching processor,分封交換處理機,,,
161,packet switching service network,分封交換服務網路,,,
162,packet switching services,分封交換服務,,,
163,packet switching system,分封交換系統,,,
164,packet switching unit,分封交換單元,,,
165,packet terminal,分封終端機,,,
166,packet transfer,封包傳送,,,
167,packet transfer mode,封包傳送模式,分組傳送模式 ,,
168,packet transmission,封包傳輸,,,
169,packet voice communication system,分封語音通信系統,,,
170,packet-circuit,封包與專線混合,,,
171,packetize,分封化,,,
172,packetized ensemble protocol,分封化總體協定,,,
173,packetized voice,分封化語音,,,
174,packet-mode DTE,分封式數據終端設備,,,
175,packet-model terminal,分封型終端機,,,
176,packet-net system interface,分封網路系統介面,,,
177,packing,壓縮；包裝,,,
178,packing code,裝箱碼,,,
179,packing density,縮緊密度,,,
180,packing factor,緊束因子,,,
181,packing fraction,緊束分數,,,
182,packing list,裝箱表,,,
183,packing material,包裝材料,,,
184,packing routine,緊束常式,,,
185,packing slip,裝箱單,,,
186,PACUIT System,封包與專線混合交換系統,,,
