編號,原文,臺灣用語,大陸用語,其他用語,
1,R/W driver,讀寫驅動器,,,
2,R/W head,讀寫頭,讀/寫磁頭,,
3,RA,註冊機構,注冊機構 ,,
4,race,競賽,,,
5,race condition,競賽條件,,,
6,race hazard,競賽冒險,,,
7,race problem,競賽問題,,,
8,race way,電纜通路,,,
9,race-free assignment,無競爭分配,,,
10,rack,框架,,,
11,rack and panel connector,框架及面板連接器,,,
12,rack and panel construction,框架及面板構造,,,
13,rack configuration,框架組態,,,
14,rack construction,框架構造,架裝結構 ,,
15,rackmount,框架安裝,架裝安裝 ,,
16,rad-50,基數50,,,
17,radar,雷達系統,,,
18,radar computer simulator,雷達計算機模擬器,,,
19,radar signal processing,雷達信號處理,,,
20,radar tracker,雷達追蹤器,,,
21,radial,徑向,,,
22,radial component,徑向組件,,,
23,radial scan,徑向掃瞄,,,
24,radial selector,徑向選擇器,,,
25,radial serial protocol	,放射串聯協定,,,
26,radial servo,徑向伺服,徑向伺服 ,,
27,radial transfer,放射式轉移,,,
28,radial wheel blower,放射輪吹風機,,,
29,radial wiring,徑向佈線,,,
30,radian,弧度,,,
31,radian frequency,角頻率,,,
32,radiant,輻射的；輻射源,,,
33,radiant energy,輻射能,,,
34,radiating,散熱；輻射,,,
35,radiating element,輻射元件,,,
36,radiating flange,輻射凸緣,,,
37,radiation,輻射,輻射 ,,
38,radiation condition,輻射條件,,,
39,radiation detection,輻射檢測,,,
40,radiation detection satellite,輻射檢測衛星,,,
41,radiation fin,輻射散熱片,,,
42,radiation hardening,輻射加固（使電子設備耐輻射的技術）,,,
43,radiation loss,輻射損耗,,,
44,radiation measurement,輻射測量,,,
45,radiation medicine,輻射醫學,,,
46,radiator,輻射體；輻射器；散熱器,,,
47,radical,基本的；主要的；,偏旁 ,,
48,radical coding,字根編碼,,,
49,radio,無線電；收音機,,,
50,radio astronomy,無線電天文學,,,
51,radio autocontrol,無線電自動控制,,,
52,radio baseband receive terminals,無線電基頻接收終端,,,
53,radio baseband send terminals,無線電基頻發送終端,,,
54,radio beam,無線電射束,,,
55,radio broadcasting,無線電廣播,,,
56,radio button,無線電鈕,單選按鈕 ,,
57,radio circuit,射頻電路,,,
58,radio command guidance system,無線電命令導引系統,,,
59,radio command link,無線電命令鏈接,,,
60,radio command system,無線電命令系統,,,
61,radio common carrier,無線電公用載波,,,
62,radio common channel,無線電公用通道,,,
63,radio communication,無線電通信,,,
64,radio communication net,無線電通信網,,,
65,radio communication regulation,無線電通信條例,,,
66,radio connection,無線電連接,,,
67,radio control,無線電控制,,,
68,radio data,無線電數據,,,
69,radio data link,無線電數據鏈路,,,
70,radio direction and ranging,無線電定向和測距,,,
71,radio direction finder,定向儀無線電方向尋檢器,,,
72,radio frequency amplifier,射頻放大器,,,
73,radio frequency generator,射頻產生器,,,
74,radio frequency interference	,射頻干擾,,,
75,radio frequency sputtering,射頻濺散,,,
76,radio frequency	,射頻,,,
77,radio link,無線電鏈路,,,
78,radio location,無線電位置,,,
79,radio log,無線電日誌,,,
80,radio monitor,無線電監控器,,,
81,radio network,無線電網路,,,
82,radio paging,無線電播叫（找人）；無線呼叫（找人）,,,
83,radio photography,無線電傳真（術）,,,
84,radio relay station,無線電中繼站,,,
85,radio relay system,無線電中繼系統,,,
86,radio telecontrol,無線電遙控,,,
87,radio telegraphy,無線電報學,,,
88,radio telephony,無線電話學,,,
89,radio teletypewriter	,無線電傳打字機,,,
90,radio typewriter,無線電打字機,,,
91,radio waves,無線電波,,,
92,radio window,無線電視窗,,,
93,radioactivity,放射性,,,
94,radiogram,無線電報,,,
95,radiograph,放射線照片,,,
96,radio-graphy,放射線照片術,,,
97,radiometer,輻射計,,,
98,radionuclide,放射性核素,放射性核素 ,,
99,radiosity method,輻射度方法,輻射度方法 ,,
100,radius,半徑,,,
101,radius vector,半徑向量,,,
102,radix,數基,,,
103,radix complement,數基補數,,,
104,radix conversion,數基轉換,,,
105,radix exchange sort,基數互換分類,,,
106,radix exchange sorting method,基數互換分類法,,,
107,radix exchange sorting routine,基數互換分類常式,,,
108,radix mixed ,混合基數,,,
109,radix module,基數模組,,,
110,radix notation,基數記法,,,
111,radix number,數基數,,,
112,radix numeration,基數命數,,,
113,radix numeration system,基數命數系統,,,
114,radix point,數基點,,,
115,radix pointer,基數指標,,,
116,radix scale,數基標度（同radixnotation）,,,
117,radix sort,數基排序,,,
118,radix sorting,基數排序,基數排序 ,,
119,radix subfield exchange sorting,基數子欄互換分類法,,,
120,radix transform,基數變換,,,
121,radix two computer,二基數計算機,,,
122,radix two counter,二基數計數器,,,
123,radix-digit,基數數位,,,
124,radix-marker,基數標記符,,,
125,radix-minus-one complement,數基減一補數,反碼 ,,
126,Radon transform,氡變換,拉東變換 ,,
127,ragged,不齊；未對齊,,,
128,ragged center,中心未對齊,,,
129,ragged left,左邊未對齊,左邊未對齊,,
130,ragged right,右邊未對齊,右邊未對齊,,
131,ragged setting,版面未對齊,,,
132,ragged text,正文未對齊,,,
133,RAID,冗餘陣列的不貴磁碟,磁盤冗余陣列 ,,
134,rail voltage,導軌電壓,,,
135,railway division communication system,鐵路區段通信系統,,,
136,rain barrel effect,雨桶效應,,,
137,rainbow,彩虹,,,
138,raise statement,引發敘述,,,
139,raised character,凸（起）字符,,,
140,raised cosine pulse,上升餘弦脈波,,,
141,raised cosine wave,上升餘弦波,,,
142,raised floor,高架地板,活動地板 ,,
143,raising the typing line,上移打字行,,,
144,Rajchman plate,雷奇曼儲存板,,,
145,Rajchman selection switch,雷奇曼選擇開關,,,
146,RAM,隨機存取記憶體,隨機存儲器 ,,
147,RAM disk,隨機存取記憶磁碟,,,
148,rambus,記憶體匯流排,存儲器總線 ,,
149,ramp,斜波,,,
150,ramp function,斜波函數,斜坡函數 ,,
151,ramp signal,斜波信號,,,
152,ramp-response time,斜波嚮應時間,,,
153,random access,隨機存取,隨機存取 ,,
154,random access auxiliary storage,隨機存取輔助儲存器,,,
155,random access block	,隨機存取塊,,,
156,random access by hashing,雜湊式隨機存取,,,
157,random access by key,依鍵隨機存取,,,
158,random access by record file address,依錄檔位址隨機存取,,,
159,random access by relative record number,依相對記錄號碼隨機存取,,,
160,random access communication system,隨機存取通信系統,,,
161,random access computer,隨機存取計算機,,,
162,random access device,隨機存取裝置,,,
163,random access discrete address system,隨機存取離散位址系統,,,
164,random access disk file,隨機存取磁碟檔,,,
165,random access disk file bank,隨機存取磁碟檔案庫,,,
166,random access file,隨機存取檔,,,
167,random access I/O routine,隨機存取輸入輸出常式,,,
168,random access image devices,隨機存取影像裝置,,,
169,random access input/output,隨機存取輸入輸出,,,
170,random access machine,隨機存取機,隨機存取機器 ,,
171,random access memory	,隨機存取記憶體,隨機（存取）存儲器,,
172,random access message storage,隨機存取訊息儲存,,,
173,random access method,隨機存取法,,,
174,random access method of accounting and control	,會計管制隨機存取法,,,
175,random access mode,隨機存取模,,,
176,random access number out-of-range,隨機存取數越界,,,
177,random access optical memory,隨機存取光記憶體,,,
178,random access path,隨機存取路徑,,,
179,random access processing,隨機存取處理,,,
180,random access processing file,隨機存取處理檔案,,,
181,random access programming,隨機存取程式設計,,,
182,random access projector,隨機存取投影機,,,
183,random access protocol,隨機存取協定,,,
184,random access software,隨機存取軟體,,,
185,random access sort,隨機存取排序,,,
186,random access sorter,隨機存取排序器,,,
