編號,原文,臺灣用語,大陸用語,其他用語,
1,S completion,S完備化,S完備化 ,,
2,s/370 channel address,s/370通道位址,,,
3,S-100 bus,S-100匯流排,,,
4,saddle node,鞍節點,,,
5,saddle point,鞍點,,,
6,saddle point game,鞍點競賽,,,
7,saddle point method,鞍點法,,,
8,SADT,結構化分析與設計技術,結構化分析與設計技朮 ,,
9,safe,安全的；可靠的,,,
10,safe address register	,安全位址暫存器,,,
11,safe area,保障區；安全區,,,
12,safe expression,安全表式,,,
13,safe formula,安全公式；可靠公式,,,
14,safe length,保險長度；安全長度,,,
15,safe net,安全網,安全網 ,,
16,safe prediction,安全預測,,,
17,safe relational calculus expression,安全關連式演算陳式,,,
18,safe shutdown,安全關機,安全停機 ,,
19,safe state,安全狀態,,,
20,safeguard,保衛,保衛 ,,
21,safeness,安全性,安全性 ,,
22,safety certification authority,安全認證授權,安全認証授權 ,,
23,safety circuit,安全電路,,,
24,safety code,安全碼,,,
25,safety communication,安全通訊,,,
26,safety cut-out,安全斷路,,,
27,safety engineering,安全工程,,,
28,safety factor,安全因數,,,
29,safety interlock,安全互鎖,,,
30,safety lead time,安全前置時間,,,
31,safety message,安全訊息,,,
32,safety paper,安全紙,,,
33,safety pole,安全極,,,
34,safety problem,安全問題,,,
35,safety ring,安全環,安全環,,
36,safety service,安全服務,,,
37,safety signal,安全信號,,,
38,safety standards,安全標準,,,
39,safety stock,安全庫存,,,
40,safety switch,保險開關；安全開關,,,
41,safety test,安全測試；安全試驗,,,
42,safety traffic,安全流量,,,
43,safety verification,安全驗證,,,
44,SAGE air traffic integration	,SAGE空中交通整合,,,
45,Salami technique,薩拉米技術,,,
46,salami techniques,義大利香腸技術,,,
47,salary accounting,薪金記帳,,,
48,sale amount,銷售數量,,,
49,sale representative,銷售代表,,,
50,sales aid,銷售輔助,,,
51,sales analysis flag,售分析旗標,,,
52,sales and business reservations done electronically	,（美國）航空公司訂座系統,,,
53,sales code,銷售碼,,,
54,sales cost,銷售成本,,,
55,sales history,銷售歷史,,,
56,sales income,銷售收入,,,
57,sales mode,銷售模式,,,
58,sales percentage,銷售百分比,,,
