編號,原文,臺灣用語,大陸用語,其他用語,
1,t test,t測試,,,
2,T/2 way merging,T/2路合併,,,
3,T1 carrier,T1載子,,,
4,tab,欄標,,,
5,tab ball grid array,欄標球柵陣列,,,
6,tab character,欄標字元,,,
7,tab file,欄標檔案,,,
8,tab position,欄標位置,,,
9,tabbing,標誌,,,
10,tabbing command,標誌命令,,,
11,table,表,表格 ,,
12,table access,表存取,,,
13,table accessing mechanism,表存取機構,,,
14,table address operand,表位址運算元,,,
15,table addressing,表定址,,,
16,table block,數據表塊,,,
17,table compression,表壓縮,,,
18,table constraint,表約束,表約束 ,,
19,table constructor,表構造器,,,
20,table data,列表資料,,,
21,table description,表描述,,,
22,table directory,表目錄,,,
23,table display,表顯示,,,
24,table driven,表格驅動,,,
25,table driven algorithm,表驅動式演算法,,,
26,table driven code generation,表驅動代碼產生,,,
27,table driven compiler,表驅動式編譯程式,,,
28,table driven interpreter,表驅動解譯器,,,
29,table driven parser program,表驅動剖析器程式,,,
30,table driven parsing,表驅動剖析,,,
31,table driven simulation,表格驅動模擬,,,
32,table driven software,表格驅動軟體,,,
33,table driven software implementation,表格驅動軟體實施,,,
34,table driven technique,表格驅動技術,,,
35,table element,表元素,,,
36,table entry,表入口,,,
37,table file,表檔案,,,
38,table format language,表格式語言,,,
39,table function,表函數,,,
40,table handling,表處置,,,
41,table handling module,表處置模組,,,
42,table index,表索引,,,
43,table indicator,表指示器,,,
44,table language,表語言,,,
45,table load record,表載入記錄,,,
46,table look-at,查表,,,
47,table lookup file,表列查尋檔案,,,
48,table lookup instruction,查表指令,,,
49,table lookup program,查表程式,,,
50,table lookup routine,查表常式,,,
51,table lookup technique,查表技術,,,
52,table lookup	,查表,,,
53,table memory,表格記憶體,,,
54,table of combinations,組合表,,,
55,table of content,目錄,,,
56,table of information,資訊表,,,
57,table of joints,接合表,,,
58,table of pointer,指標表,,,
59,table of vector,向量表,,,
60,table of word-delimiter,字定界符表,,,
61,table organization,表組織,,,
62,table organization within a compiler,編譯程式中符號表的組織,,,
63,table preprocessing,表預處理,,,
64,table producing language	,表產生語,,,
65,table reference character	,表引用字元,,,
66,table register,表格暫存器,,,
67,table searching,表搜尋,,,
68,table segment,表段,,,
69,table segmenting,表格分段,,,
70,table simulator,表模擬器,,,
71,table size,表大小,,,
72,table skeleton,表架,,,
73,table sort,表排序,,,
74,table space,表空間,,,
75,table structure,表結構,,,
76,table technique,圖表技術,,,
77,table transform,表變換,,,
78,tableau,描像,,,
79,tableau format,表格格式,,,
80,table-driven simulation,表格驅動模擬,表[格]驅動模擬 ,,
81,table-driven technique,表格驅動技術,表[格]驅動法 ,,
82,tables and diagrams,表與圖,,,
83,tablet,輸入板；標牌,,,
84,tablet input,圖形輸入板輸入,,,
85,tablet menu,輸入板選項單,,,
86,table-top computer,桌上計算機,,,
87,table-top word processing equipment,桌上文字處理設備,,,
88,table-walking,查表,,,
89,tabloid,文摘,,,
90,taboo term,禁忌詞,,,
91,tabs on field,啟用欄標欄位,,,
92,tabular,表狀,,,
93,tabular data,表狀資料,,,
94,tabular data presentation,表狀資料表達,,,
95,tabular display,表狀顯示,,,
96,tabular form,表狀形式,,,
97,tabular form language,表狀形式語言,,,
98,tabular interpretive program,表狀解譯程式,,,
99,tabular knowledge,表狀知識,,,
100,tabular language,表狀語言,,,
101,tabular query formulation,表狀查詢公式化,,,
102,tabular representation,表狀表示,,,
103,tabular rule,表狀規則,,,
104,tabular system oriented language	,表狀系統導向語言,,,
105,tabulate,列表,,,
106,tabulated data,製表資料,,,
107,tabulating,製表,,,
108,tabulating card,製表卡,,,
109,tabulating equipment,製表設備,,,
110,tabulating machine,製表機,,,
111,tabulating system,製表系統,,,
112,tabulation,製表,,,
113,tabulation character,製表字元,,,
114,tabulation equipment,製表設備,,,
115,tabulation function,製表功能,,,
116,tabulation markers,製表標誌,,,
117,tabulation method,製表方法,,,
118,tabulation sequential format,製表順序格式,,,
119,tabulation set,製表裝置,,,
120,tabulator,製表器,制表機,,
121,tabulator clear key,製表器清除鍵,,,
122,tabulator gang clear key,製表器成組清除鍵,,,
123,tabulator key,製表器鍵,,,
124,tabulator mechanism,製表機構,,,
125,tabulator set key,製表器設定鍵,,,
126,tabulator setting,製表器設定,,,
127,tabulator stop,製表器停止,,,
128,TAC,終端存取控制器,終端訪問控制器, *終端接入控制器 ,,
129,tachometer,轉速計,,,
130,tachometer housing,轉速計罩框,,,
131,tachometer roller,轉速計滾輪,,,
132,tactical computer,戰術計算機,,,
133,tactical intelligence,戰術情報,戰朮情報 ,,
134,tactical procedure oriented computer programming language,戰術程序導向電腦程式設計語言,,,
135,tactile,觸覺,,,
136,tactile controlled hand,觸覺受控手,,,
137,tactile feedback,觸覺回饋,,,
138,tactile keyboard,觸覺鍵盤,,,
139,tactile sense,觸覺感測,,,
140,tactile sensing,觸覺感測,,,
141,tactile sensor,觸覺感測器,,,
142,tag,標籤；鍵,標志 ,,
143,tag along sort,按標籤排序,,,
144,tag architecture,標籤架構,,,
145,tag array,標籤陣列,,,
146,tag bits,標籤位元,,,
147,tag bus byte,標籤匯流排位元組,,,
148,tag card,標籤卡,,,
149,tag card reader,標籤卡閱讀機,,,
150,tag check,標籤檢查,,,
151,tag converting device,標籤轉換裝置,,,
