編號,原文,臺灣用語,大陸用語,其他用語,
1,u/m conversion,u/m轉換,,,
2,UA,使用者代理,用戶代理 ,,
3,UA,用戶區,用戶區 ,,
4,UART,通用非同步收發機,通用異步接收發送設備 ,,
5,UCS,通用多八位編碼字元集,通用多八位編碼字符集 ,,
6,UDP,用戶數據報協定,用戶數據報協議 ,,
7,u-format,未定義格式,,,
8,Uighur,維吾爾文,維吾爾文 ,,
9,UIMS,使用者介面管理系統,用戶界面管理系統 ,,
10,ultimate sink,終極槽,,,
11,ultra microfiche,超微縮膠片,,,
12,ultra violet,紫外線,,,
13,ultraempiricism,超經驗論,,,
14,ultrafast computer,超高速計算機,,,
15,ultrafiche,超縮微膠片,,,
16,ultrafilteration,超濾作用,,,
17,ultra-high frequency,超高頻,,,
18,ultra-high reduction,超大量縮減,,,
19,ultraintelligent machine,超級智慧機,,,
20,ultralarge scale integration,超大規模積體電路；超大型積體,,,
21,ultra-low frequency,超低頻,,,
22,ultrareliable fault tolerant microprocessor system,超可靠容錯微處理機系統,,,
23,ultrareliable modular computer,超可靠模組計算機,,,
24,ultrasonic,超音波；超聲的；超聲波,,,
25,ultrasonic band,超音波頻帶,,,
26,ultrasonic bonding,超音波焊接,,,
27,ultrasonic cleaning,超音波清潔,,,
28,ultrasonic delay line,超音波延遲線,,,
29,ultrasonic generator,超音波產生器,,,
30,ultrasonic memory,超音波記憶體,,,
31,ultrasonic pen pointer,超音波筆指標,,,
32,ultrasonic pen table,超音波筆表,,,
33,ultrasonic sensor,超音波感測器,超聲波傳感器 ,,
34,ultrasonics,超音學；超聲學,,,
35,ultrasound,超聲,,,
36,ultrasound image analysis,超聲波影像分析,,,
37,ultraviolet contrast-control safety goggles,反差控制紫外線防護護目鏡,,,
38,ultraviolet energy definition,紫外線能量定義,,,
39,ultraviolet erasing,紫外線抹除,,,
40,ultraviolet glass,透紫外線的玻璃；紫外線玻璃,,,
41,ultraviolet light erasing,紫外線燈抹除,,,
42,ultraviolet programmable read-only memory,紫外線可程式唯讀記憶體,,,
43,ultraviolet PROM erasure LAMP,可編程式唯讀記憶體的紫外線清除燈,,,
44,ultraviolet radiation,紫外線輻射,,,
45,ultraviolet-erasable,可用紫外線抹除的,,,
46,ultraviolet-erasable programmable read only memory,紫外線可抹除可程式唯讀記憶體,,,
47,ultraviolet-erasable read-only-memory,紫外線可抹除唯讀記憶體,,,
48,ULTRIX,迪吉多電腦公司的UNIX系統,,,
49,UMA,上層記憶體區,高端存儲區 ,,
50,u-macro,通用聚集指令,,,
51,UMB,上層記憶體區塊,高端存儲塊 ,,
52,umbilical connector,臍帶連接器,,,
53,umbilical cord,臍帶式軟線；操縱電纜,,,
54,umbra,本影,本影 ,,
55,UML,統一模型化語言,統一建模語言 ,,
56,u-mode records,未定義模式記錄,,,
57,UN documentation information system,聯合國文獻資料系統,,,
58,UN information center,聯合國資訊中心,,,
59,unacceptable event,不可接受事件,,,
60,unacceptable event security,不可接受事件安全,,,
61,unacceptable file code,不可接受檔案碼,,,
62,unacknowledged connectionless-mode transmission,未確認的無連接方式傳輸,不確認的無連接方式傳輸 ,,
63,unacknowledged data,未確認資料,,,
64,unacknowledged frame,未確認框,,,
65,unacknowledged information transfer service,未確認資訊傳送服務,,,
66,unaddressable storage,不可定址儲存器,,,
67,unadjusted trial balance,未調整試算表,,,
68,unallocated logical storage,未配置邏輯儲存器,,,
69,unallocated physical storage,未配置實體儲存器,,,
70,unallowable character,未允許字元,,,
71,unallowable code check,未允許碼檢查,,,
72,unallowable digit,未允許數位,,,
73,unallowable instruction check,未允許指令檢查,,,
74,unallowable instruction digit,未允許指令數位,,,
75,unambiguity,無歧義性,,,
76,unambiguous determination,單值確定；無二義性確定,,,
77,unambiguously right-linear stochastic grammar,非歧義右線性隨機文法；非含混右線性隨機文法,,,
