編號,原文,臺灣用語,大陸用語,其他用語,
1,V.21,V.21規格,,,
2,V.22,V.22規格,,,
3,vaccine,疫苗程式,疫苗[程序] ,,
4,vaccine program,疫苗程式,防疫程序 ,,
5,vaccine software,疫苗軟體,,,
6,vacuum column,真空行,真空積帶箱,,
7,vacuum evaporation deposition,真空蒸發,,,
8,vacuum tube,真空管,,,
9,vacuum vapor deposition method,真空沉積法,,,
10,valid [state],有效[狀態],有效[狀態] ,,
11,valid cell,有效格,有效信元 ,,
12,valid input,有效輸入,有效輸入 ,,
13,valid item,有效項目,有效項 ,,
14,valid request,有效請求,有效請求 ,,
15,valid time,有效時間,有效時間 ,,
16,validation,確認；驗證,確認 ,,
17,validation function,確認功能,,,
18,validation stages,確認階段,,,
19,validity,確認；驗證,有效性 ,,
20,validity check,確認核對,有效性檢查 ,,
21,validity problem,確認問題,,,
22,valuator,設值器,,,
23,value,值；價值,,,
24,value added dealer	,加值交易商,,,
25,value added network	,加值網路,,,
26,value added productivity measurement,生產力加值測量,,,
27,value added resale	,加值轉售,,,
28,value added resellers	,附加價值經銷商,,,
29,value added service,加值服務,,,
30,value adjustment factor,值調整因子,,,
31,value analysis,價值分析,,,
32,value cell,值單元,,,
33,value clause,值子句,,,
34,value decision box,值決策箱,,,
35,value engineering,價值工程,,,
36,value field,值域,,,
37,value numbering,值編號,,,
38,value parameter,價值參數,值參 ,,
39,value pricing,價值定價,,,
40,value relationship,價值關係,,,
41,value-added network,加值網路,增值網 ,,
42,VAN,加值網路,增值網 ,,
43,vanishing point,消失點,滅點 ,,
44,vanishing state,消失狀態,消失狀態 ,,
45,variable,變數,,,
46,variable address,可變位址,,,
47,variable bit rate,可變位元率,可變比特率 ,,
48,variable bit rate service,可變位元率服務,可變比特率業務 ,,
49,variable block,可變塊,,,
50,variable connector,可變連接器,,,
51,variable cycle operation,可變週期作業,,,
52,variable factor programming	,可變因數規劃,,,
53,variable format,可變格式,,,
54,variable frequency oscillator,變頻振盪器,,,
55,variable function generator,可變函數產生器,,,
56,variable information,可變資訊,,,
57,variable information processing	,可變資訊處理,,,
58,variable leading,可變前置量,,,
59,variable length coding,不定長編碼,變長編碼 ,,
60,variable logic,可變邏輯,,,
61,variable micrologic,可變微邏輯,,,
62,variable multiplier,可變乘數,,,
63,variable name,變數名稱,,,
64,variable occurrence data item,可變出現資料項,,,
65,variable partition,可變分區,可變分區 ,,
66,variable scope,可變範疇,,,
67,variable size item,可變大小項,,,
68,variable state word,變數狀態字,,,
69,variable structure control,可變結構控制,,,
70,variable structure system	,可變結構系統,,,
71,variable threshold logic circuit	,可變定限邏輯電路,,,
72,variable word length,可變字長,可變字長 ,,
73,variable word length computer,可變字長電腦,,,
74,variable-length,可變長度,,,
75,variable-length attribute list,可變長度屬性表,,,
76,variable-length character encoding,可變長度字元編碼,,,
77,variable-length code	,可變長度碼,,,
78,variable-length coding,不定長編碼,,,
79,variable-length data item,可變長度資料項,,,
80,variable-length field,可變長度欄,,,
81,variable-length instruction,可變長度指令,,,
82,variable-length pointer,變長指標,,,
83,variable-length record,變長記錄；變長錄,,,
84,variable-length record file,變長錄檔案,,,
85,variable-length record system,可變長記錄系統；變長記錄系統,,,
86,variable-length word,變長字,,,
87,variable-point,可變點,,,
88,variable-point representation,可變點表示法,,,
89,variable-point representation system,動點表示系統,,,
90,variable-pointer list,可變指標表,,,
91,variable-precision coding compaction,變精度編碼緊湊法,,,
92,variable-speed gear,變速齒輪,,,
93,variable-speed spindle motor,變速轉軸馬達,,,
94,variable-structured system,可變結構系統,可變結構系統 ,,
95,variance,變異數,變度 ,,
96,variance analysis,變異數分析,,,
97,variant,變體,異體 ,,
98,variant Chinese character,變體中文字元,異體字 ,,
99,variant Hanzi,變體漢字,異體字 ,,
100,variant part,變體部分,,,
101,variational design,可變設計,變量化設計 ,,
102,variational design system	,可變設計系統,,,
103,VAX DBMS,VAX資料庫管理系統,,,
104,VAX information architecture	,VAX資訊架構,,,
105,VB,視覺Basic語言,可視Basic語言 ,,
106,VBR,可變位元率,可變比特率 ,,
107,VC,虛擬通道,虛通道 ,,
108,VC++,視覺C++語言,可視C++語言 ,,
109,VCD,影音光碟,影碟 ,,
110,VDISK,VDISK驅動機,,,
111,VDL,維也納定義語言,維也納定義語言 ,,
112,VDM,維也納開發方法,維也納開發方法 ,,
113,VDM,維也納定義方法,維也納定義方法 ,,
114,vector,向量,向量 ,,
115,vector arithmetic,向量運算,,,
116,vector code generation,向量碼產生,,,
117,vector coding,向量編碼,向量編碼 ,,
118,vector computer,向量計算機,向量計算機 ,,
119,vector data structure,向量資料結構,向量數據結構 ,,
120,vector descriptor,向量描述符,,,
121,vector display,向量顯示,向量顯示 ,,
122,vector generation,向量產生,,,
123,vector generator,向量產生器,,,
124,vector instruction,向量指令,向量指令 ,,
125,vector instruction set,向量指令集,,,
126,vector interrupt,向量中斷,向量中斷 ,,
127,vector length register,向量長度暫存器,,,
128,vector loop,向量迴路,,,
129,vector looping method,向量循環方法,向量循環方法 ,,
130,vector mask,向量遮罩,向量屏蔽 ,,
131,vector mask register,向量遮罩暫存器,,,
132,vector multiplication,向量乘法,,,
133,vector operand,向量運算元,,,
134,vector parallel processor	,向量平行處理機,,,
135,vector parameter file,向量參數檔,,,
136,vector pipeline,向量管線,向量流水線 ,,
137,vector priority interrupt,向量優先中斷,向量優先級中斷 ,,
138,vector processing,向量處理,,,
139,vector processor,向量處理器,向量處理器 ,,
140,vector quantity,向量數量,,,
141,vector quantization,向量量化,向量量化 ,,
142,vector quantizer,向量量化器,,,
143,vector register,向量暫存器,,,
144,vector search,向量搜尋,向量查找, *向量搜索 ,,
145,vector state algorithm,向量狀態算法,,,
146,vector statement generation,向量敘述產生,,,
147,vector supercomputer,向量超級電腦,向量超級計算機 ,,
148,vector to raster hardware,向量至掃點變換硬體,,,
149,vector variable,向量變數,,,
150,vectored interrupt,向量中斷,,,
