編號,原文,臺灣用語,大陸用語,其他用語,
1,x address,x位址,,,
2,x automatic translation code,x自動翻譯碼,,,
3,x direction,橫軸方向,,,
4,x edit descriptor,x編輯描述符（定位編輯的）,,,
5,x index register,x索引暫存器,,,
6,X protocol,X協定,,,
7,x register y bit,x暫存器y位元,,,
8,x select input,x選擇輸入,,,
9,x status register,x（軸）狀態暫存器,,,
10,X user interface toolkit,X使用者介面套件,,,
11,x value,x值,,,
12,X window,X視窗,,,
13,X window system,X視窗系統,,,
14,X.11,X.11標準,,,
15,X.25,X.25標準,,,
16,X.400,X.400標準,,,
17,X/Open,X/Open,,,
18,X/OPEN,X/開放,,,
19,X/Open Management Protocol,X開放管理協定,,,
20,X/Open portability guide,X開放可攜性導引,,,
21,X3,X3標準,,,
22,x-axis,x軸；橫坐標,,,
23,x-axis label,x軸標號,,,
24,x-band,x頻帶（頻率範圍5200兆赫－10900兆赫）,,,
25,x-band phase shifter,x頻帶相移器,,,
26,x-datum line,x基準線,,,
27,XENIX operation system,XENIX作業系統,,,
28,xenon flash lamp,氙閃光燈,,,
29,xerographic copy,靜電印刷複製,,,
30,xerographic printer,靜電印刷列印機,,,
31,xerography,靜電印刷術,,,
32,Xerox network systems,全錄網路系統,,,
33,Xerox operating system,Xerox作業系統,,,
34,Xerox telecommunication network,Xerox電信網,,,
35,XGA,延伸視頻圖形陣列,擴展視頻圖形適配器 ,,
36,XLL,可延伸鏈接語言,可擴展鏈接語言 ,,
37,XML,可延伸性標示語言,可擴展置標語言 ,,
38,XOR gate,互斥或閘,,,
39,XOR logic gate,互斥或邏輯閘,,,
40,x-punch,11列打孔；x列打孔,,,
41,x-ray emission gauge,x射線幅射計,,,
42,x-ray tube,X射線管,,,
43,x-series of recommendations of CCITT,國際電話電報諮詢委員會x系列建議,,,
44,XSL,可延伸樣式語言,可擴展樣式語言 ,,
45,x-y axis,x-y軸,,,
46,x-y coordinate CRT display,x-y坐標陰極射線管顯示器,,,
47,x-y plotter,x-y繪圖器；x-y繪圖機,ＸＹ繪圖機 ,,
48,x-y recorder,x-y（軸）記錄機,,,
49,x-y switch,x-y交換器,,,
