編號,原文,臺灣用語,大陸用語,其他用語,
1,y address,y位址,,,
2,y channel,y通道,,,
3,y connection,y形連接,,,
4,y cursor counter,y游標計數器,,,
5,y direction,縱軸方向；y軸方向,,,
6,y operator,y運算子,,,
7,y position,y（軸）位置,,,
8,y select input,y選擇輸入,,,
9,y signal,y信號；亮度信號,,,
10,y status register,y（軸）狀態暫存器,,,
11,y value,y值,,,
12,Y2K,2000年問題,2000年問題 ,,
13,YACC,YACC語言,YACC語言 ,,
14,yard,工場；碼,,,
15,yard automatic control system,工廠自動控制系統,,,
16,yaw angle,偏航角,,,
17,yaw axis,偏航軸,,,
18,yaw damping computer,偏航阻尼計算機,,,
19,y-axis,縱坐標；y軸,,,
20,y-axis label,y軸標號,,,
21,y-datum line,y基準線,,,
22,y-delta starter,y-△形起動器,,,
23,y-disk,y碟；一種（會話監督系統）系統磁碟的擴充,,,
24,year,年,,,
25,Year 2000 Problem,2000年問題,2000年問題 ,,
26,year book,年鑑；年刊,,,
27,yearly load curve,年負載曲線,,,
28,yearly load factor,年負載因數,,,
29,yearly output,年輸出,,,
30,year-to-date,年度至本日,,,
31,year-to-date cost amount,年度至本日成本金額,,,
32,year-to-date issues,年度至本日發料量,,,
33,year-to-date quantity sold,年度至本日銷售數量,,,
34,year-to-date sales amount,年度至本日銷售金額,,,
35,year-to-date sales profit amount,年度至本日銷售利潤金額,,,
36,year-to-date sales profit percent,年度至本日銷售利潤百分比,,,
37,year-to-date used,年度至本日已使用,,,
38,yellow indicator lamp,黃色指示燈,,,
39,yes-no decision,是-非決策,,,
40,yes-no question grammar,是-非問題文法,,,
41,yes-no type of operation,是-非運算型式,,,
42,Yet Another Compiler Compiler,YACC語言,YACC語言 ,,
43,yet another compiler-compiler,YACC編譯器編譯器,,,
44,Yewtec corporation,尤特克公司,,,
45,yield,成品；成品率；產出；屈服；良率；投資報酬,,,
46,yield factor,良率；產出率,,,
47,yield load,屈服點負載,,,
48,yield point,屈服點；擊穿點,,,
49,yield safety factor,良率安全因數,,,
50,yield value,屈服值,,,
51,yielding point,屈服點；擊穿點,,,
52,yoke,磁頭組；磁軛,偏轉線圈 ,,
53,youngest empty cell,最短空單元；最近期空單元,,,
54,y-punch,12列打孔（在何勒里斯卡片上）；y打孔；y打孔位；首列打孔,,,
55,ytterbium,鐿,,,
56,yttrium,釔,,,
57,yttrium aluminum garnet,釔鋁石榴石,,,
58,yttrium iron garnet,釔鐵石榴石；釔鐵榴石,,,
59,y-y connection,y-y形連接,,,
