編號,原文,臺灣用語,大陸用語,其他用語,
1,z address,z位址,,,
2,z code,z碼,,,
3,z height,z高度；頂點,,,
4,z impedance,z阻抗,,,
5,z select input,z選擇輸入,,,
6,z time,格林威治子午圈平均時,,,
7,z-80 development system	,z80開發系統,,,
8,z-80 industrial BASIC language	,z80工業BASIC語言,,,
9,Z80 microprocessor,Z80微處理機,,,
10,z-80 processor board	,z80處理機板,,,
11,z-8000 microprocessor,z8000微處理機,,,
12,Zato code indexing,札特碼索引,,,
13,Zato coding,札特寫碼,,,
14,Zato coding system,札特寫碼系統,,,
15,z-axis,z軸（直角坐標系中）,,,
16,ZBR,區位記錄,區位記錄 ,,
17,Z-buffer algorithm,Z緩衝器演算法,Z緩沖器算法 ,,
18,ZCAV,區域常數角速率,分區恆角速度 ,,
19,z-diode transistor logic	,z二極體電晶體邏輯,,,
20,z-disk,z碟；（會話監督系統）系統磁碟CMS的擴充,,,
21,Zener,齊納,,,
22,Zener breakdown,齊納擊穿,,,
23,Zener diode	,齊納二極體；穩壓二極體,,,
24,zenith,天頂；最高點,,,
25,zero,零；零位；零點,零點 ,,
26,zero access,立即存取；零存取,,,
27,zero access addition,零存取加法,,,
28,zero access memory,立即存取記憶體,,,
29,zero access storage	,立即存取儲存器；零存取儲存（器）,,,
30,zero access store,立即存取儲存,,,
31,zero accident	,無意外,,,
32,zero address,零位址,,,
33,zero address format,零位址格式,,,
34,zero address instruction	,零位址指令,,,
35,zero address machine,零位址機,,,
36,zero address order,零位址命令,,,
37,zero adjust,調零；零點調整,,,
38,zero adjuster,零（位）調節器,,,
39,zero adjustment,零位調整；零點調整,,,
40,zero and add	,零與加（指令）,,,
41,zero and subtract,零與減,,,
42,zero balance,零平衡,,,
43,zero beat	,零拍,,,
44,zero bias,零偏壓,,,
45,zero bit,零位元,,,
46,zero blanking,消零,,,
47,zero branch	,零分支,,,
48,zero byte,零位元組,,,
49,zero center,零中心,,,
50,zero charge,零電荷,,,
51,zero check routine,零檢查常式,,,
52,zero circuit,零電路,,,
53,zero complement,零補碼；零補數,,,
54,zero compression,零壓縮（刪左零）,,,
55,zero condition,零條件,,,
56,zero copy protocol,零拷貝協定,零拷貝協議 ,,
57,zero correction,零點校正,,,
58,zero count interrupt,零計數中斷,,,
59,zero cross signal,零交叉信號,,,
60,zero cross switch circuit,零交叉交換電路,,,
61,zero crossing,零交叉,,,
62,zero crossing detector,零交點檢測器,過零檢測器 ,,
63,zero crossover	,零交越,,,
64,zero defect	,零缺陷,,,
65,zero destination address,零目的位址,,,
66,zero detection operation,檢零操作,,,
67,zero dimensional set,零維集,,,
68,zero disparity binary code,零不均等二進制碼,,,
69,zero drift error,零點漂移誤差,,,
70,zero element,零元素,,,
71,zero elimination,消零,,,
72,zero energy	,零能量；無能量,,,
73,zero error,零誤差,,,
74,zero extended	,零延伸,,,
75,zero fill,零填充；填零；補零,填零,,
76,zero flag,零旗標,,,
77,zero force connector,零力連接器,,,
78,zero form,零形式,,,
79,zero format value,零格式值,,,
80,zero frame,零框,,,
81,zero free region,無零點區域,,,
82,zero frequency	,零頻率（直流）,,,
83,zero function,零函數,,,
84,zero game,零競賽,,,
85,zero gravity,零重力；失重,,,
86,zero guard band recording,零防護帶記錄,,,
87,zero hold,零保持,,,
88,zero hour	,預定行動開始時刻,,,
89,zero initial,零聲母,零聲母 ,,
90,zero input	,零輸入；無輸入,,,
91,zero insertion,零插入,,,
92,zero insertion force	,零插力（插座）；便於安裝CPU的插座,,,
93,zero kill,零取消；消零；零位抑制,,,
94,zero label,零標號,,,
95,zero length buffer,零長度緩衝器,,,
96,zero level,零位準；零階,,,
97,zero level address,零階位址；零級位址,,,
98,zero level addressing,零階定址（法）,,,
99,zero level symbol,零階符號,,,
100,zero level transmission reference point,零階傳輸參考點,,,
101,zero marker,零標誌,,,
102,zero mask,零遮罩,,,
103,zero match gate,零匹配閘,,,
104,zero matrix,零矩陣,,,
105,zero memory channel,零記憶體通道,,,
106,zero memory source,零記憶體源,,,
107,zero method,消零法；零測法,,,
108,zero modulation	,零調變；調零,,,
109,zero offset,零偏置；零位偏移,,,
110,zero operator,零運算子,,,
111,zero order diffraction beam,零階繞射束,,,
112,zero order hold	,零級保持,,,
113,zero order wave,零級波,,,
114,zero output signal,零輸出信號,,,
115,zero output	,零輸出；無輸出,,,
116,zero page addressing,零頁定址,,,
117,zero phase shift filter,零相移位濾波器,,,
118,zero place function,零位函數,,,
119,zero place predicate,零位述詞,,,
120,zero point,零點,,,
121,zero point error,零點誤差,,,
122,zero population growth,零人口成長,,,
123,zero potential,零電位,,,
124,zero power level,零功率位準,,,
125,zero proof,零證明；零檢查,,,
126,zero punch,零打孔,,,
127,zero reader,零閱讀機,,,
128,zero redundancy store,零冗餘儲存器,,,
129,zero repeat factor,零重複因數,,,
130,zero replacement editing,零替換編輯,,,
131,zero reset,零位重置,,,
132,zero ring,零環,,,
133,zero scan,零掃瞄,,,
134,zero shift	,零移位,,,
135,zero signal zone,零信號區；無信號區,,,
136,zero state	,零狀態,,,
137,zero static error loop,零靜態誤差迴路,,,
138,zero status flag,零狀態旗標,,,
139,zero sum game,零和競賽,,,
140,zero sum two-person game,零和二人競賽,,,
141,zero suppress	,消零,,,
142,zero suppression,消零；零抑制,消零,,
143,zero suppression editing,零抑制編輯；消零編輯,,,
144,zero suppression function,消零功能,,,
145,zero synchronization,原點同步,,,
146,zero track,零軌,零道 ,,
147,zero transfer function,零傳送函數,,,
148,zero transmission level reference point,零傳輸位準參考點,,,
149,zero valued exponent,零值指數,,,
150,zero vector,零向量,,,
151,zero volt,零伏特,,,
152,zero voltage,零電壓,,,
153,zero wait state	,零等待狀態,,,
154,zero wander,零點漂移,,,
155,zero word,零字,,,
156,zero-adjusted	,零點調整的；調到零的,,,
157,zero-bit stuffing,零位元埴充,,,
158,zero-gate-voltage drain current,零閘電壓汲極電流,,,
159,zerography,靜電印刷術,,,
160,zeroing,歸零,,,
161,zeroing block of storage,歸零儲存塊,,,
162,zeroize,填零；補零；化零,,,
163,zero-knowledge,零知識,零知識 ,,
164,zero-knowledge interactive argument,零知識交互式論證,零知識交互式論証 ,,
165,zero-knowledge interactive proof system,零知識交互式證明系統,零知識交互式証明系統 ,,
166,zero-knowledge proof,零知識證明,零知識証明 ,,
167,zeroleveladdress,零階位址；零級位址,,,
168,zero-one distribution,零一分配,,,
169,zero-one integer programming,零一整數規劃,,,
170,zero-one system,零一系統；零一制,,,
171,zero-order holder,零階保持器,零階保持器 ,,
172,zero-sided Lindenmayer system,林氏無關系統,,,
173,Zeus program analysis,宙斯程式分析,,,
174,z-fold paper,摺疊紙,(Z形)折疊紙,,
175,zig-zag,鋸齒形的；曲形的,,,
176,zig-zag fold paper,摺疊紙,(Z形)折疊紙,,
177,zigzag path,交錯路徑,交錯路徑 ,,
178,Zilog disk operation system	,Zilog磁碟作業系統,,,
179,Zilog real-time emulator	,Zilog即時仿真器,,,
180,zinc,鋅,,,
181,zip code,郵遞區號,,,
182,Zipf's law,齊夫定律,,,
183,zonal decimal,區域十進,,,
184,zonal sampling,區域抽樣,,,
185,zone,儲存區；三行區（打孔片頂部的三行）；區段；層；區域；範圍,區 ,,
186,zone bit,區位；帶位元,,,
187,zone bit recording,區位記錄,區位記錄 ,,
188,zone boundary,區域邊界,,,
189,zone center,區域中心；區長途電話局,,,
190,zone coverage,區域覆蓋,,,
191,zone curve,區域曲線,,,
192,zone description,區域描述；儲存區說明,,,
193,zone digit,區域數位,,,
194,zone distance,區域距離,,,
195,zone encryption,區加密,,,
196,zone field,區域欄,,,
197,zone field selection	,區域欄選擇,,,
198,zone indicator,區域指示器,,,
199,zone leveling,區域調平,,,
200,zone marker	,區域標誌；區域標記,,,
201,zone metering system,區域計量制；按區域統計制,,,
202,zone of action,作用區；控制範圍,,,
203,zone of ambiguity,歧義區；不定區,,,
204,zone operation control	,區域操作控制,,,
205,zone position indicator	,區域位置指示器,,,
206,zone positions,區域地位,,,
207,zone punch,區域打孔；頂部打孔；三行區打孔,區段孔,,
208,zone registration	,區域登記,,,
209,zone setting,區域設置,,,
210,zone station,區域電話局,,,
211,zone switching center,區域交換中心；電話區域交換中心,,,
212,zone system,區域系統,,,
213,zone time	,區域時間,,,
214,zone width,區域寬度,,,
215,zoned constant angular velocity,區域常數角速率,分區恆角速度 ,,
216,zoned decimal format,區域十進格式,,,
217,zoned decimal number format,區域十進數格式,,,
218,zoned field,區域欄,,,
219,zoned format,區域格式,,,
220,zoning,分區；區劃,,,
221,zoom,變焦距；圖像變比（放大或縮小）,,,
222,zoom down,縮小,,,
223,zoom in,放大,放大 ,,
224,zoom out,縮小,縮小 ,,
225,zoom table,速查表,,,
226,zooming,調焦,變焦 ,,
227,Zorn's lemma,佐恩引理,,,
228,z-parameter,z參數（電晶體用）,,,
229,z-sub,零減法指令,,,
230,Zulu time,世界標準時間；格林威治平均時,,,
